;힘->근거리		민첩->원거리		"지능->흑,백마법"		근거리(공)		원거리(공)		근거리	원거리	흑마법(공)		백마법(공)		흑마법	백마법	근거리	원거리	흑마법	백마법
15	16	18	21	15	16	35	39	39	51	16	23	35	39	35	39	35	39	39	23	16	20
15	17	18	22	15	17	36	40	40	52	16	24	36	40	36	40	36	40	40	24	16	20
16	17	19	22	16	17	37	41	41	53	16	25	37	41	37	41	37	41	41	25	16	21
16	18	20	23	16	18	38	42	42	55	17	25	38	42	38	42	38	42	42	25	17	21
17	18	20	24	17	18	39	43	43	56	17	26	39	43	39	43	39	43	43	26	17	22
17	19	21	25	17	19	40	44	44	57	18	26	40	44	40	44	40	44	44	26	18	22
18	19	21	25	18	19	41	45	45	59	18	27	41	45	41	45	41	45	45	27	18	23
18	20	22	26	18	20	41	46	46	60	18	28	41	46	41	46	41	46	46	28	18	23
19	21	23	27	19	21	42	47	47	61	19	28	42	47	42	47	42	47	47	28	19	24
19	21	23	27	19	21	43	48	48	62	19	29	43	48	43	48	43	48	48	29	19	24
20	22	24	28	20	22	44	49	49	64	20	29	44	49	44	49	44	49	49	29	20	25
20	22	24	29	20	22	45	50	50	65	20	30	45	50	45	50	45	50	50	30	20	25
21	23	25	30	21	23	46	51	51	66	20	31	46	51	46	51	46	51	51	31	20	26
21	23	26	30	21	23	47	52	52	68	21	31	47	52	47	52	47	52	52	31	21	26
22	24	26	31	22	24	48	53	53	69	21	32	48	53	48	53	48	53	53	32	21	27
22	24	27	32	22	24	49	54	54	70	22	32	49	54	49	54	49	54	54	32	22	27
23	25	28	33	23	25	50	55	55	72	22	33	50	55	50	55	50	55	55	33	22	28
23	26	28	33	23	26	50	56	56	73	22	34	50	56	50	56	50	56	56	34	22	28
24	26	29	34	24	26	51	57	57	74	23	34	51	57	51	57	51	57	57	34	23	29
24	27	29	35	24	27	52	58	58	75	23	35	52	58	52	58	52	58	58	35	23	29
25	27	30	35	25	27	53	59	59	77	24	35	53	59	53	59	53	59	59	35	24	30
25	28	31	36	25	28	54	60	60	78	24	36	54	60	54	60	54	60	60	36	24	30
26	28	31	37	26	28	55	61	61	79	24	37	55	61	55	61	55	61	61	37	24	31
26	29	32	38	26	29	56	62	62	81	25	37	56	62	56	62	56	62	62	37	25	31
27	29	32	38	27	29	57	63	63	82	25	38	57	63	57	63	57	63	63	38	25	32
27	30	33	39	27	30	58	64	64	83	26	38	58	64	58	64	58	64	64	38	26	32
28	31	34	40	28	31	59	65	65	85	26	39	59	65	59	65	59	65	65	39	26	33
28	31	34	40	28	31	59	66	66	86	26	40	59	66	59	66	59	66	66	40	26	33
29	32	35	41	29	32	60	67	67	87	27	40	60	67	60	67	60	67	67	40	27	34
29	32	35	42	29	32	61	68	68	88	27	41	61	68	61	68	61	68	68	41	27	34
30	33	36	43	30	33	62	69	69	90	28	41	62	69	62	69	62	69	69	41	28	35
30	33	37	43	30	33	63	70	70	91	28	42	63	70	63	70	63	70	70	42	28	35
31	34	37	44	31	34	64	71	71	92	28	43	64	71	64	71	64	71	71	43	28	36
31	34	38	45	31	34	65	72	72	94	29	43	65	72	65	72	65	72	72	43	29	36
32	35	39	46	32	35	66	73	73	95	29	44	66	73	66	73	66	73	73	44	29	37
32	36	39	46	32	36	67	74	74	96	30	44	67	74	67	74	67	74	74	44	30	37
33	36	40	47	33	36	68	75	75	98	30	45	68	75	68	75	68	75	75	45	30	38
33	37	40	48	33	37	68	76	76	99	30	46	68	76	68	76	68	76	76	46	30	38
34	37	41	48	34	37	69	77	77	100	31	46	69	77	69	77	69	77	77	46	31	39
34	38	42	49	34	38	70	78	78	101	31	47	70	78	70	78	70	78	78	47	31	39
35	38	42	50	35	38	71	79	79	103	32	47	71	79	71	79	71	79	79	47	32	40
35	39	43	51	35	39	72	80	80	104	32	48	72	80	72	80	72	80	80	48	32	40
36	39	43	51	36	39	73	81	81	105	32	49	73	81	73	81	73	81	81	49	32	41
36	40	44	52	36	40	74	82	82	107	33	49	74	82	74	82	74	82	82	49	33	41
37	41	45	53	37	41	75	83	83	108	33	50	75	83	75	83	75	83	83	50	33	42
37	41	45	53	37	41	76	84	84	109	34	50	76	84	76	84	76	84	84	50	34	42
38	42	46	54	38	42	77	85	85	111	34	51	77	85	77	85	77	85	85	51	34	43
38	42	46	55	38	42	77	86	86	112	34	52	77	86	77	86	77	86	86	52	34	43
39	43	47	56	39	43	78	87	87	113	35	52	78	87	78	87	78	87	87	52	35	44
39	43	48	56	39	43	79	88	88	114	35	53	79	88	79	88	79	88	88	53	35	44
40	44	48	57	40	44	80	89	89	116	36	53	80	89	80	89	80	89	89	53	36	45
40	44	49	58	40	44	81	90	90	117	36	54	81	90	81	90	81	90	90	54	36	45
41	45	50	59	41	45	82	91	91	118	36	55	82	91	82	91	82	91	91	55	36	46
41	46	50	59	41	46	83	92	92	120	37	55	83	92	83	92	83	92	92	55	37	46
42	46	51	60	42	46	84	93	93	121	37	56	84	93	84	93	84	93	93	56	37	47
42	47	51	61	42	47	85	94	94	122	38	56	85	94	85	94	85	94	94	56	38	47
43	47	52	61	43	47	86	95	95	124	38	57	86	95	86	95	86	95	95	57	38	48
43	48	53	62	43	48	86	96	96	125	38	58	86	96	86	96	86	96	96	58	38	48
44	48	53	63	44	48	87	97	97	126	39	58	87	97	87	97	87	97	97	58	39	49
44	49	54	64	44	49	88	98	98	127	39	59	88	98	88	98	88	98	98	59	39	49
45	49	54	64	45	49	89	99	99	129	40	59	89	99	89	99	89	99	99	59	40	50
45	50	55	65	45	50	90	100	100	130	40	60	90	100	90	100	90	100	100	60	40	50
45	51	56	66	45	51	91	101	101	132	40	61	91	101	91	101	91	101	101	61	40	51
46	51	56	66	46	51	92	102	102	133	41	61	92	102	92	102	92	102	102	61	41	51
46	52	57	67	46	52	93	103	103	135	41	62	93	103	93	103	93	103	103	62	41	52
47	52	57	68	47	52	94	104	104	136	42	62	94	104	94	104	94	104	104	62	42	52
47	53	58	68	47	53	95	105	105	138	42	63	95	105	95	105	95	105	105	63	42	53
48	53	58	69	48	53	96	106	106	139	42	64	96	106	96	106	95	106	106	64	42	53
48	54	59	70	48	54	97	107	107	141	43	64	97	107	97	107	96	107	107	64	43	54
49	54	59	70	49	54	98	108	108	142	43	65	98	108	98	108	97	108	108	65	43	54
49	55	60	71	49	55	99	109	109	144	44	65	99	109	99	109	98	109	109	65	44	55
50	55	61	72	50	55	100	110	110	145	44	66	100	110	100	110	99	110	110	66	44	55
50	56	61	72	50	56	101	111	111	147	44	67	101	111	101	111	100	111	111	67	44	56
50	56	62	73	50	56	102	112	112	148	45	67	102	112	102	112	101	112	112	67	45	56
51	57	62	73	51	57	103	113	113	150	45	68	103	113	103	113	102	113	113	68	45	57
51	57	63	74	51	57	104	114	114	151	46	68	104	114	104	114	103	114	114	68	46	57
52	58	63	75	52	58	105	115	115	153	46	69	105	115	105	115	104	115	115	69	46	58
52	58	64	75	52	58	106	116	116	154	46	70	106	116	106	116	104	116	116	70	46	58
53	59	64	76	53	59	107	117	117	156	47	70	107	117	107	117	105	117	117	70	47	59
53	59	65	77	53	59	108	118	118	157	47	71	108	118	108	118	106	118	118	71	47	59
54	60	65	77	54	60	109	119	119	159	48	71	109	119	109	119	107	119	119	71	48	60
54	60	66	78	54	60	110	120	120	160	48	72	110	120	110	120	108	120	120	72	48	60
54	61	67	79	54	61	111	121	121	162	48	73	111	121	111	121	109	121	121	73	48	61
55	61	67	79	55	61	112	122	122	163	49	73	112	122	112	122	110	122	122	73	49	61
55	62	68	80	55	62	113	123	123	165	49	74	113	123	113	123	111	123	123	74	49	62
56	62	68	81	56	62	114	124	124	166	50	74	114	124	114	124	112	124	124	74	50	62
56	63	69	81	56	63	115	125	125	168	50	75	115	125	115	125	113	125	125	75	50	63
57	63	69	82	57	63	116	126	126	169	50	76	116	126	116	126	113	126	126	76	50	63
57	64	70	83	57	64	117	127	127	171	51	76	117	127	117	127	114	127	127	76	51	64
58	64	70	83	58	64	118	128	128	172	51	77	118	128	118	128	115	128	128	77	51	64
58	65	71	84	58	65	119	129	129	174	52	77	119	129	119	129	116	129	129	77	52	65
59	65	72	85	59	65	120	130	130	175	52	78	120	130	120	130	117	130	130	78	52	65
59	66	72	85	59	66	121	131	131	177	52	79	121	131	121	131	118	131	131	79	52	66
59	66	73	86	59	66	122	132	132	178	53	79	122	132	122	132	119	132	132	79	53	66
60	67	73	86	60	67	123	133	133	180	53	80	123	133	123	133	120	133	133	80	53	67
60	67	74	87	60	67	124	134	134	181	54	80	124	134	124	134	121	134	134	80	54	67
61	68	74	88	61	68	125	135	135	183	54	81	125	135	125	135	122	135	135	81	54	68
61	68	75	88	61	68	126	136	136	184	54	82	126	136	126	136	122	136	136	82	54	68
62	69	75	89	62	69	127	137	137	186	55	82	127	137	127	137	123	137	137	82	55	69
62	69	76	90	62	69	128	138	138	187	55	83	128	138	128	138	124	138	138	83	55	69
63	70	76	90	63	70	129	139	139	189	56	83	129	139	129	139	125	139	139	83	56	70
63	70	77	91	63	70	130	140	140	190	56	84	130	140	130	140	126	140	140	84	56	70
63	71	78	92	63	71	131	141	141	192	56	85	131	141	131	141	127	141	141	85	56	71
64	71	78	92	64	71	132	142	142	193	57	85	132	142	132	142	128	142	142	85	57	71
64	72	79	93	64	72	133	143	143	195	57	86	133	143	133	143	129	143	143	86	57	72
65	72	79	94	65	72	134	144	144	196	58	86	134	144	134	144	130	144	144	86	58	72
65	73	80	94	65	73	135	145	145	198	58	87	135	145	135	145	131	145	145	87	58	73
66	73	80	95	66	73	136	146	146	199	58	88	136	146	136	146	131	146	146	88	58	73
66	74	81	96	66	74	137	147	147	201	59	88	137	147	137	147	132	147	147	88	59	74
67	74	81	96	67	74	138	148	148	202	59	89	138	148	138	148	133	148	148	89	59	74
67	75	82	97	67	75	139	149	149	204	60	89	139	149	139	149	134	149	149	89	60	75
68	75	83	98	68	75	140	150	150	205	60	90	140	150	140	150	135	150	150	90	60	75
68	76	83	98	68	76	141	151	151	207	60	91	141	151	141	151	136	151	151	91	60	76
68	76	84	99	68	76	142	152	152	208	61	91	142	152	142	152	137	152	152	91	61	76
69	77	84	99	69	77	143	153	153	210	61	92	143	153	143	153	138	153	153	92	61	77
69	77	85	100	69	77	144	154	154	211	62	92	144	154	144	154	139	154	154	92	62	77
70	78	85	101	70	78	145	155	155	213	62	93	145	155	145	155	140	155	155	93	62	78
70	78	86	101	70	78	146	156	156	214	62	94	146	156	146	156	140	156	156	94	62	78
71	79	86	102	71	79	147	157	157	216	63	94	147	157	147	157	141	157	157	94	63	79
71	79	87	103	71	79	148	158	158	217	63	95	148	158	148	158	142	158	158	95	63	79
72	80	87	103	72	80	149	159	159	219	64	95	149	159	149	159	143	159	159	95	64	80
72	80	88	104	72	80	150	160	160	220	64	96	150	160	150	160	144	160	160	96	64	80
72	81	89	105	72	81	151	161	161	222	64	97	151	161	151	161	145	161	161	97	64	81
73	81	89	105	73	81	152	162	162	223	65	97	152	162	152	162	146	162	162	97	65	81
73	82	90	106	73	82	153	163	163	225	65	98	153	163	153	163	147	163	163	98	65	82
74	82	90	107	74	82	154	164	164	226	66	98	154	164	154	164	148	164	164	98	66	82
74	83	91	107	74	83	155	165	165	228	66	99	155	165	155	165	149	165	165	99	66	83
75	83	91	108	75	83	156	166	166	229	66	100	156	166	156	166	149	166	166	100	66	83
75	84	92	109	75	84	157	167	167	231	67	100	157	167	157	167	150	167	167	100	67	84
76	84	92	109	76	84	158	168	168	232	67	101	158	168	158	168	151	168	168	101	67	84
76	85	93	110	76	85	159	169	169	234	68	101	159	169	159	169	152	169	169	101	68	85
77	85	94	111	77	85	160	170	170	235	68	102	160	170	160	170	153	170	170	102	68	85
77	86	94	111	77	86	161	171	171	237	68	103	161	171	161	171	154	171	171	103	68	86
77	86	95	112	77	86	162	172	172	238	69	103	162	172	162	172	155	172	172	103	69	86
78	87	95	112	78	87	163	173	173	240	69	104	163	173	163	173	156	173	173	104	69	87
78	87	96	113	78	87	164	174	174	241	70	104	164	174	164	174	157	174	174	104	70	87
79	88	96	114	79	88	165	175	175	243	70	105	165	175	165	175	158	175	175	105	70	88
79	88	97	114	79	88	166	176	176	244	70	106	166	176	166	176	158	176	176	106	70	88
80	89	97	115	80	89	167	177	177	246	71	106	167	177	167	177	159	177	177	106	71	89
80	89	98	116	80	89	168	178	178	247	71	107	168	178	168	178	160	178	178	107	71	89
81	90	98	116	81	90	169	179	179	249	72	107	169	179	169	179	161	179	179	107	72	90
81	90	99	117	81	90	170	180	180	250	72	108	170	180	170	180	162	180	180	108	72	90
81	91	100	118	81	91	171	181	181	252	72	109	171	181	171	181	163	181	181	109	72	91
82	91	100	118	82	91	172	182	182	253	73	109	172	182	172	182	164	182	182	109	73	91
82	92	101	119	82	92	173	183	183	255	73	110	173	183	173	183	165	183	183	110	73	92
83	92	101	120	83	92	174	184	184	256	74	110	174	184	174	184	166	184	184	110	74	92
83	93	102	120	83	93	175	185	185	258	74	111	175	185	175	185	167	185	185	111	74	93
84	93	102	121	84	93	176	186	186	259	74	112	176	186	176	186	167	186	186	112	74	93
84	94	103	122	84	94	177	187	187	261	75	112	177	187	177	187	168	187	187	112	75	94
85	94	103	122	85	94	178	188	188	262	75	113	178	188	178	188	169	188	188	113	75	94
85	95	104	123	85	95	179	189	189	264	76	113	179	189	179	189	170	189	189	113	76	95
86	95	105	124	86	95	180	190	190	265	76	114	180	190	180	190	171	190	190	114	76	95
86	96	105	124	86	96	181	191	191	267	76	115	181	191	181	191	172	191	191	115	76	96
86	96	106	125	86	96	182	192	192	268	77	115	182	192	182	192	173	192	192	115	77	96
87	97	106	125	87	97	183	193	193	270	77	116	183	193	183	193	174	193	193	116	77	97
87	97	107	126	87	97	184	194	194	271	78	116	184	194	184	194	175	194	194	116	78	97
88	98	107	127	88	98	185	195	195	273	78	117	185	195	185	195	176	195	195	117	78	98
88	98	108	127	88	98	186	196	196	274	78	118	186	196	186	196	176	196	196	118	78	98
89	99	108	128	89	99	187	197	197	276	79	118	187	197	187	197	177	197	197	118	79	99
89	99	109	129	89	99	188	198	198	277	79	119	188	198	188	198	178	198	198	119	79	99
90	100	109	129	90	100	189	199	199	279	80	119	189	199	189	199	179	199	199	119	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
90	100	110	130	90	100	190	200	200	280	80	120	190	200	190	200	180	200	200	120	80	100
