;몹번호	아이템번호	아이템나올 확율(1000이 100)			
601	10112	300			
601	10113	300			
601	10196	300			
601	10193	60			
601	10194	60			
2	211	300			
2	631	300			
2	1051	300			
2	1471	300			
2	1891	300			
2	2311	300			
2	2731	300			
2	3151	300			
2	3571	300			
2	4033	300			
2	4348	300			
2	4663	300			
2	5041	300			
2	5356	300			
2	5671	300			
2	6049	300			
2	6364	300			
2	6679	300			
2	7057	300			
2	7372	300			
2	7687	300			
2	10105	300			
2	10114	300			
2	10393	300			
2	10395	300			
2	10196	300			
2	10193	50			
2	10194	50			
202	212	300			
202	632	300			
202	1052	300			
202	1472	300			
202	1892	300			
202	2312	300			
202	2732	300			
202	3152	300			
202	3572	300			
202	4034	300			
202	4349	300			
202	4664	300			
202	5042	300			
202	5357	300			
202	5672	300			
202	6050	300			
202	6365	300			
202	6680	300			
202	7058	300			
202	7373	300			
202	7688	300			
202	10105	300			
202	10114	300			
202	10393	300			
202	10395	300			
202	10196	300			
202	10193	50			
202	10194	50			
302	213	300			
302	633	300			
302	1053	300			
302	1473	300			
302	1893	300			
302	2313	300			
302	2733	300			
302	3153	300			
302	3573	300			
302	4035	300			
302	4350	300			
302	4665	300			
302	5043	300			
302	5358	300			
302	5673	300			
302	6051	300			
302	6366	300			
302	6681	300			
302	7059	300			
302	7374	300			
302	7689	300			
302	10105	300			
302	10114	300			
302	10393	300			
302	10395	300			
302	10196	300			
302	10193	50			
302	10194	50			
402	214	300			
402	634	300			
402	1054	300			
402	1474	300			
402	1894	300			
402	2314	300			
402	2734	300			
402	3154	300			
402	3574	300			
402	4036	300			
402	4351	300			
402	4666	300			
402	5044	300			
402	5359	300			
402	5674	300			
402	6052	300			
402	6367	300			
402	6682	300			
402	7060	300			
402	7375	300			
402	7690	300			
402	10105	300			
402	10114	300			
402	10393	300			
402	10395	300			
402	10196	300			
402	10193	50			
402	10194	50			
502	215	300			
502	635	300			
502	1055	300			
502	1475	300			
502	1895	300			
502	2315	300			
502	2735	300			
502	3155	300			
502	3575	300			
502	4037	300			
502	4352	300			
502	4667	300			
502	5045	300			
502	5360	300			
502	5675	300			
502	6053	300			
502	6368	300			
502	6683	300			
502	7061	300			
502	7376	300			
502	7691	300			
502	10105	300			
502	10114	300			
502	10393	300			
502	10395	300			
502	10196	300			
502	10193	50			
502	10194	50			
602	216	300			
602	636	300			
602	1056	300			
602	1476	300			
602	1896	300			
602	2316	300			
602	2736	300			
602	3156	300			
602	3576	300			
602	4038	300			
602	4353	300			
602	4668	300			
602	5046	300			
602	5361	300			
602	5676	300			
602	6054	300			
602	6369	300			
602	6684	300			
602	7062	300			
602	7377	300			
602	7692	300			
602	10105	300			
602	10114	300			
602	10393	300			
602	10395	300			
602	10196	300			
602	10193	60			
602	10194	60			
3	232	300			
3	652	300			
3	1072	300			
3	1492	300			
3	1912	300			
3	2332	300			
3	2752	300			
3	3172	300			
3	3592	300			
3	4054	300			
3	4369	300			
3	4684	300			
3	5062	300			
3	5377	300			
3	5692	300			
3	6070	300			
3	6385	300			
3	6700	300			
3	7078	300			
3	7393	300			
3	7708	300			
3	8023	300			
3	10106	300			
3	10115	300			
3	10196	300			
3	10193	50			
3	10194	50			
203	233	300			
203	653	300			
203	1073	300			
203	1493	300			
203	1913	300			
203	2333	300			
203	2753	300			
203	3173	300			
203	3593	300			
203	4055	300			
203	4370	300			
203	4685	300			
203	5063	300			
203	5378	300			
203	5693	300			
203	6071	300			
203	6386	300			
203	6701	300			
203	7079	300			
203	7394	300			
203	7709	300			
203	8024	300			
203	10106	300			
203	10115	300			
203	10196	300			
203	10193	50			
203	10194	50			
303	234	300			
303	654	300			
303	1074	300			
303	1494	300			
303	1914	300			
303	2334	300			
303	2754	300			
303	3174	300			
303	3594	300			
303	4056	300			
303	4371	300			
303	4686	300			
303	5064	300			
303	5379	300			
303	5694	300			
303	6072	300			
303	6387	300			
303	6702	300			
303	7080	300			
303	7395	300			
303	7710	300			
303	8025	300			
303	10106	300			
303	10115	300			
303	10196	300			
303	10193	50			
303	10194	50			
403	235	300			
403	655	300			
403	1075	300			
403	1495	300			
403	1915	300			
403	2335	300			
403	2755	300			
403	3175	300			
403	3595	300			
403	4057	300			
403	4372	300			
403	4687	300			
403	5065	300			
403	5380	300			
403	5695	300			
403	6073	300			
403	6388	300			
403	6703	300			
403	7081	300			
403	7396	300			
403	7711	300			
403	8026	300			
403	10106	300			
403	10115	300			
403	10196	300			
403	10193	50			
403	10194	50			
503	236	300			
503	656	300			
503	1076	300			
503	1496	300			
503	1916	300			
503	2336	300			
503	2756	300			
503	3176	300			
503	3596	300			
503	4058	300			
503	4373	300			
503	4688	300			
503	5066	300			
503	5381	300			
503	5696	300			
503	6074	300			
503	6389	300			
503	6704	300			
503	7082	300			
503	7397	300			
503	7712	300			
503	8027	300			
503	10106	300			
503	10115	300			
503	10196	300			
503	10193	50			
503	10194	50			
603	237	300			
603	657	300			
603	1077	300			
603	1497	300			
603	1917	300			
603	2337	300			
603	2757	300			
603	3177	300			
603	3597	300			
603	4059	300			
603	4374	300			
603	4689	300			
603	5067	300			
603	5382	300			
603	5697	300			
603	6075	300			
603	6390	300			
603	6705	300			
603	7083	300			
603	7398	300			
603	7713	300			
603	8028	300			
603	10106	300			
603	10115	300			
603	10196	300			
603	10193	60			
603	10194	60			
4	22	300			
4	253	300			
4	673	300			
4	1093	300			
4	1513	300			
4	1933	300			
4	2353	300			
4	2773	300			
4	3193	300			
4	3613	300			
4	4075	300			
4	4390	300			
4	4705	300			
4	5083	300			
4	5398	300			
4	5713	300			
4	6091	300			
4	6406	300			
4	6721	300			
4	7099	300			
4	7414	300			
4	7729	300			
4	8044	300			
4	10107	300			
4	10116	300			
4	10392	300			
4	10396	300			
4	10196	300			
4	10193	50			
4	10194	50			
204	23	300			
204	254	300			
204	674	300			
204	1094	300			
204	1514	300			
204	1934	300			
204	2354	300			
204	2774	300			
204	3194	300			
204	3614	300			
204	4076	300			
204	4391	300			
204	4706	300			
204	5084	300			
204	5399	300			
204	5714	300			
204	6092	300			
204	6407	300			
204	6722	300			
204	7100	300			
204	7415	300			
204	7730	300			
204	8045	300			
204	10107	300			
204	10116	300			
204	10392	300			
204	10396	300			
204	10196	300			
204	10193	50			
204	10194	50			
304	24	300			
304	255	300			
304	675	300			
304	1095	300			
304	1515	300			
304	1935	300			
304	2355	300			
304	2775	300			
304	3195	300			
304	3615	300			
304	4077	300			
304	4392	300			
304	4707	300			
304	5085	300			
304	5400	300			
304	5715	300			
304	6093	300			
304	6408	300			
304	6723	300			
304	7101	300			
304	7416	300			
304	7731	300			
304	8046	300			
304	10107	300			
304	10116	300			
304	10392	300			
304	10396	300			
304	10196	300			
304	10193	50			
304	10194	50			
404	25	300			
404	256	300			
404	676	300			
404	1096	300			
404	1516	300			
404	1936	300			
404	2356	300			
404	2776	300			
404	3196	300			
404	3616	300			
404	4078	300			
404	4393	300			
404	4708	300			
404	5086	300			
404	5401	300			
404	5716	300			
404	6094	300			
404	6409	300			
404	6724	300			
404	7102	300			
404	7417	300			
404	7732	300			
404	8047	300			
404	10107	300			
404	10116	300			
404	10392	300			
404	10396	300			
404	10196	300			
404	10193	50			
404	10194	50			
504	26	300			
504	257	300			
504	677	300			
504	1097	300			
504	1517	300			
504	1937	300			
504	2357	300			
504	2777	300			
504	3197	300			
504	3617	300			
504	4079	300			
504	4394	300			
504	4709	300			
504	5087	300			
504	5402	300			
504	5717	300			
504	6095	300			
504	6410	300			
504	6725	300			
504	7103	300			
504	7418	300			
504	7733	300			
504	8048	300			
504	10107	300			
504	10116	300			
504	10392	300			
504	10396	300			
504	10196	300			
504	10193	50			
504	10194	50			
604	27	300			
604	258	300			
604	678	300			
604	1098	300			
604	1518	300			
604	1938	300			
604	2358	300			
604	2778	300			
604	3198	300			
604	3618	300			
604	4080	300			
604	4395	300			
604	4710	300			
604	5088	300			
604	5403	300			
604	5718	300			
604	6096	300			
604	6411	300			
604	6726	300			
604	7104	300			
604	7419	300			
604	7734	300			
604	8049	300			
604	10107	300			
604	10116	300			
604	10392	300			
604	10396	300			
604	10196	300			
604	10193	60			
604	10194	60			
5	43	300			
5	274	300			
5	694	300			
5	1114	300			
5	1534	300			
5	1954	300			
5	2374	300			
5	2794	300			
5	3214	300			
5	3634	300			
5	4096	300			
5	4411	300			
5	4726	300			
5	5104	300			
5	5419	300			
5	5734	300			
5	6112	300			
5	6427	300			
5	6742	300			
5	7120	300			
5	7435	300			
5	7750	300			
5	8065	300			
5	10121	300			
5	10122	300			
5	10123	150			
5	10124	300			
5	10125	300			
5	10126	300			
5	10127	300			
5	10128	300			
5	10129	150			
5	10130	300			
5	10131	150			
5	10132	300			
5	10133	300			
5	10134	300			
5	10135	300			
5	10136	300			
5	10196	300			
5	10193	50			
5	10194	50			
205	44	300			
205	275	300			
205	695	300			
205	1115	300			
205	1535	300			
205	1955	300			
205	2375	300			
205	2795	300			
205	3215	300			
205	3635	300			
205	4097	300			
205	4412	300			
205	4727	300			
205	5105	300			
205	5420	300			
205	5735	300			
205	6113	300			
205	6428	300			
205	6743	300			
205	7121	300			
205	7436	300			
205	7751	300			
205	8066	300			
205	10121	300			
205	10122	300			
205	10123	150			
205	10124	300			
205	10125	300			
205	10126	300			
205	10127	300			
205	10128	300			
205	10129	150			
205	10130	300			
205	10131	150			
205	10132	300			
205	10133	300			
205	10134	300			
205	10135	300			
205	10136	300			
205	10196	300			
205	10193	50			
205	10194	50			
305	45	300			
305	276	300			
305	696	300			
305	1116	300			
305	1536	300			
305	1956	300			
305	2376	300			
305	2796	300			
305	3216	300			
305	3636	300			
305	4098	300			
305	4413	300			
305	4728	300			
305	5106	300			
305	5421	300			
305	5736	300			
305	6114	300			
305	6429	300			
305	6744	300			
305	7122	300			
305	7437	300			
305	7752	300			
305	8067	300			
305	10121	300			
305	10122	300			
305	10123	150			
305	10124	300			
305	10125	300			
305	10126	300			
305	10127	300			
305	10128	300			
305	10129	150			
305	10130	300			
305	10131	150			
305	10132	300			
305	10133	300			
305	10134	300			
305	10135	300			
305	10136	300			
305	10196	300			
305	10193	50			
305	10194	50			
405	46	300			
405	277	300			
405	697	300			
405	1117	300			
405	1537	300			
405	1957	300			
405	2377	300			
405	2797	300			
405	3217	300			
405	3637	300			
405	4099	300			
405	4414	300			
405	4729	300			
405	5107	300			
405	5422	300			
405	5737	300			
405	6115	300			
405	6430	300			
405	6745	300			
405	7123	300			
405	7438	300			
405	7753	300			
405	8068	300			
405	10121	300			
405	10122	300			
405	10123	150			
405	10124	300			
405	10125	300			
405	10126	300			
405	10127	300			
405	10128	300			
405	10129	150			
405	10130	300			
405	10131	150			
405	10132	300			
405	10133	300			
405	10134	300			
405	10135	300			
405	10136	300			
405	10196	300			
405	10193	50			
405	10194	50			
505	47	300			
505	278	300			
505	698	300			
505	1118	300			
505	1538	300			
505	1958	300			
505	2378	300			
505	2798	300			
505	3218	300			
505	3638	300			
505	4100	300			
505	4415	300			
505	4730	300			
505	5108	300			
505	5423	300			
505	5738	300			
505	6116	300			
505	6431	300			
505	6746	300			
505	7124	300			
505	7439	300			
505	7754	300			
505	8069	300			
505	10121	300			
505	10122	300			
505	10123	150			
505	10124	300			
505	10125	300			
505	10126	300			
505	10127	300			
505	10128	300			
505	10129	150			
505	10130	300			
505	10131	150			
505	10132	300			
505	10133	300			
505	10134	300			
505	10135	300			
505	10136	300			
505	10196	300			
505	10193	50			
505	10194	50			
605	48	300			
605	279	300			
605	699	300			
605	1119	300			
605	1539	300			
605	1959	300			
605	2379	300			
605	2799	300			
605	3219	300			
605	3639	300			
605	4101	300			
605	4416	300			
605	4731	300			
605	5109	300			
605	5424	300			
605	5739	300			
605	6117	300			
605	6432	300			
605	6747	300			
605	7125	300			
605	7440	300			
605	7755	300			
605	8070	300			
605	10121	300			
605	10122	300			
605	10123	150			
605	10124	300			
605	10125	300			
605	10126	300			
605	10127	300			
605	10128	300			
605	10129	150			
605	10130	300			
605	10131	150			
605	10132	300			
605	10133	300			
605	10134	300			
605	10135	300			
605	10136	300			
605	10196	300			
605	10193	60			
605	10194	60			
6	715	280			
6	1135	280			
6	1555	280			
6	1975	280			
6	2395	280			
6	2815	280			
6	3235	280			
6	3655	280			
6	10108	280			
6	10117	280			
6	10394	280			
6	10397	150			
6	12042	280			
6	12049	280			
6	12073	280			
6	10196	300			
6	10193	50			
6	10194	50			
206	716	280			
206	1136	280			
206	1556	280			
206	1976	280			
206	2396	280			
206	2816	280			
206	3236	280			
206	3656	280			
206	10108	280			
206	10117	280			
206	10394	280			
206	10397	150			
206	12042	280			
206	12049	280			
206	12073	280			
206	10196	300			
206	10193	50			
206	10194	50			
306	717	280			
306	1137	280			
306	1557	280			
306	1977	280			
306	2397	280			
306	2817	280			
306	3237	280			
306	3657	280			
306	10108	280			
306	10117	280			
306	10394	280			
306	10397	150			
306	12042	280			
306	12049	280			
306	12073	280			
306	10196	300			
306	10193	50			
306	10194	50			
406	718	280			
406	1138	280			
406	1558	280			
406	1978	280			
406	2398	280			
406	2818	280			
406	3238	280			
406	3658	280			
406	10108	280			
406	10117	280			
406	10394	280			
406	10397	150			
406	12042	280			
406	12049	280			
406	12073	280			
406	10196	300			
406	10193	50			
406	10194	50			
506	719	280			
506	1139	280			
506	1559	280			
506	1979	280			
506	2399	280			
506	2819	280			
506	3239	280			
506	3659	280			
506	10108	280			
506	10117	280			
506	10394	280			
506	10397	150			
506	12042	280			
506	12049	280			
506	12073	280			
506	10196	300			
506	10193	50			
506	10194	50			
606	720	280			
606	1140	280			
606	1560	280			
606	1980	280			
606	2400	280			
606	2820	280			
606	3240	280			
606	3660	280			
606	10108	280			
606	10117	280			
606	10394	280			
606	10397	150			
606	12042	280			
606	12049	280			
606	12073	280			
606	10196	300			
606	10193	60			
606	10194	60			
7	295	280			
7	736	280			
7	1156	280			
7	1576	280			
7	1996	280			
7	2416	280			
7	2836	280			
7	3256	280			
7	3676	280			
7	4117	280			
7	4432	280			
7	4747	280			
7	5125	280			
7	5440	280			
7	5755	280			
7	6133	280			
7	6448	280			
7	6763	280			
7	7141	280			
7	7456	280			
7	7771	280			
7	8086	280			
7	10109	280			
7	10118	280			
7	12051	280			
7	12075	280			
7	10196	300			
7	10193	50			
7	10194	50			
207	296	280			
207	737	280			
207	1157	280			
207	1577	280			
207	1997	280			
207	2417	280			
207	2837	280			
207	3257	280			
207	3677	280			
207	4118	280			
207	4433	280			
207	4748	280			
207	5126	280			
207	5441	280			
207	5756	280			
207	6134	280			
207	6449	280			
207	6764	280			
207	7142	280			
207	7457	280			
207	7772	280			
207	8087	280			
207	10109	280			
207	10118	280			
207	12051	280			
207	12075	280			
207	10196	300			
207	10193	50			
207	10194	50			
307	297	280			
307	738	280			
307	1158	280			
307	1578	280			
307	1998	280			
307	2418	280			
307	2838	280			
307	3258	280			
307	3678	280			
307	4119	280			
307	4434	280			
307	4749	280			
307	5127	280			
307	5442	280			
307	5757	280			
307	6135	280			
307	6450	280			
307	6765	280			
307	7143	280			
307	7458	280			
307	7773	280			
307	8088	280			
307	10109	280			
307	10118	280			
307	12051	280			
307	12075	280			
307	10196	300			
307	10193	50			
307	10194	50			
407	298	280			
407	739	280			
407	1159	280			
407	1579	280			
407	1999	280			
407	2419	280			
407	2839	280			
407	3259	280			
407	3679	280			
407	4120	280			
407	4435	280			
407	4750	280			
407	5128	280			
407	5443	280			
407	5758	280			
407	6136	280			
407	6451	280			
407	6766	280			
407	7144	280			
407	7459	280			
407	7774	280			
407	8089	280			
407	10109	280			
407	10118	280			
407	12051	280			
407	12075	280			
407	10196	300			
407	10193	50			
407	10194	50			
507	299	280			
507	740	280			
507	1160	280			
507	1580	280			
507	2000	280			
507	2420	280			
507	2840	280			
507	3260	280			
507	3680	280			
507	4121	280			
507	4436	280			
507	4751	280			
507	5129	280			
507	5444	280			
507	5759	280			
507	6137	280			
507	6452	280			
507	6767	280			
507	7145	280			
507	7460	280			
507	7775	280			
507	8090	280			
507	10109	280			
507	10118	280			
507	12051	280			
507	12075	280			
507	10196	300			
507	10193	50			
507	10194	50			
607	300	280			
607	741	280			
607	1161	280			
607	1581	280			
607	2001	280			
607	2421	280			
607	2841	280			
607	3261	280			
607	3681	280			
607	4122	280			
607	4437	280			
607	4752	280			
607	5130	280			
607	5445	280			
607	5760	280			
607	6138	280			
607	6453	280			
607	6768	280			
607	7146	280			
607	7461	280			
607	7776	280			
607	8091	280			
607	10109	280			
607	10118	280			
607	12051	280			
607	12075	280			
607	10196	300			
607	10193	60			
607	10194	60			
8	43	280			
8	337	280			
8	757	280			
8	1177	280			
8	1597	280			
8	2017	280			
8	2437	280			
8	2857	280			
8	3277	280			
8	3697	280			
8	4138	280			
8	4453	280			
8	4768	280			
8	5146	280			
8	5461	280			
8	5776	280			
8	6154	280			
8	6469	280			
8	6784	280			
8	7162	280			
8	7477	280			
8	7792	280			
8	8107	280			
8	10110	150			
8	10119	150			
8	12031	280			
8	12037	280			
8	12040	280			
8	12046	150			
8	12053	280			
8	12077	280			
8	10196	300			
8	10193	50			
8	10194	50			
208	44	280			
208	338	280			
208	758	280			
208	1178	280			
208	1598	280			
208	2018	280			
208	2438	280			
208	2858	280			
208	3278	280			
208	3698	280			
208	4139	280			
208	4454	280			
208	4769	280			
208	5147	280			
208	5462	280			
208	5777	280			
208	6155	280			
208	6470	280			
208	6785	280			
208	7163	280			
208	7478	280			
208	7793	280			
208	8108	280			
208	10110	150			
208	10119	150			
208	12031	280			
208	12037	280			
208	12040	280			
208	12046	150			
208	12053	280			
208	12077	280			
208	10196	300			
208	10193	50			
208	10194	50			
308	45	280			
308	339	280			
308	759	280			
308	1179	280			
308	1599	280			
308	2019	280			
308	2439	280			
308	2859	280			
308	3279	280			
308	3699	280			
308	4140	280			
308	4455	280			
308	4770	280			
308	5148	280			
308	5463	280			
308	5778	280			
308	6156	280			
308	6471	280			
308	6786	280			
308	7164	280			
308	7479	280			
308	7794	280			
308	8109	280			
308	10110	150			
308	10119	150			
308	12031	280			
308	12037	280			
308	12040	280			
308	12046	150			
308	12053	280			
308	12077	280			
308	10196	300			
308	10193	50			
308	10194	50			
408	46	280			
408	340	280			
408	760	280			
408	1180	280			
408	1600	280			
408	2020	280			
408	2440	280			
408	2860	280			
408	3280	280			
408	3700	280			
408	4141	280			
408	4456	280			
408	4771	280			
408	5149	280			
408	5464	280			
408	5779	280			
408	6157	280			
408	6472	280			
408	6787	280			
408	7165	280			
408	7480	280			
408	7795	280			
408	8110	280			
408	10110	150			
408	10119	150			
408	12031	280			
408	12037	280			
408	12040	280			
408	12046	150			
408	12053	280			
408	12077	280			
408	10196	300			
408	10193	50			
408	10194	50			
508	47	280			
508	341	280			
508	761	280			
508	1181	280			
508	1601	280			
508	2021	280			
508	2441	280			
508	2861	280			
508	3281	280			
508	3701	280			
508	4142	280			
508	4457	280			
508	4772	280			
508	5150	280			
508	5465	280			
508	5780	280			
508	6158	280			
508	6473	280			
508	6788	280			
508	7166	280			
508	7481	280			
508	7796	280			
508	8111	280			
508	10110	150			
508	10119	150			
508	12031	280			
508	12037	280			
508	12040	280			
508	12046	150			
508	12053	280			
508	12077	280			
508	10196	300			
508	10193	50			
508	10194	50			
608	48	280			
608	342	280			
608	762	280			
608	1182	280			
608	1602	280			
608	2022	280			
608	2442	280			
608	2862	280			
608	3282	280			
608	3702	280			
608	4143	280			
608	4458	280			
608	4773	280			
608	5151	280			
608	5466	280			
608	5781	280			
608	6159	280			
608	6474	280			
608	6789	280			
608	7167	280			
608	7482	280			
608	7797	280			
608	8112	280			
608	10110	150			
608	10119	150			
608	12031	280			
608	12037	280			
608	12040	280			
608	12046	150			
608	12053	280			
608	12077	280			
608	10196	300			
608	10193	60			
608	10194	60			
9	64	280			
9	358	280			
9	778	280			
9	1198	280			
9	1618	280			
9	2038	280			
9	2458	280			
9	2878	280			
9	3298	280			
9	3718	280			
9	4159	280			
9	4474	280			
9	4789	280			
9	5167	280			
9	5482	280			
9	5797	280			
9	6175	280			
9	6490	280			
9	6805	280			
9	7183	280			
9	7498	280			
9	7813	280			
9	8128	280			
9	10111	280			
9	10120	280			
9	12067	280			
9	12079	280			
9	10196	300			
9	10193	50			
9	10194	50			
209	65	280			
209	359	280			
209	779	280			
209	1199	280			
209	1619	280			
209	2039	280			
209	2459	280			
209	2879	280			
209	3299	280			
209	3719	280			
209	4160	280			
209	4475	280			
209	4790	280			
209	5168	280			
209	5483	280			
209	5798	280			
209	6176	280			
209	6491	280			
209	6806	280			
209	7184	280			
209	7499	280			
209	7814	280			
209	8129	280			
209	10111	280			
209	10120	280			
209	12067	280			
209	12079	280			
209	10196	300			
209	10193	50			
209	10194	50			
309	66	280			
309	360	280			
309	780	280			
309	1200	280			
309	1620	280			
309	2040	280			
309	2460	280			
309	2880	280			
309	3300	280			
309	3720	280			
309	4161	280			
309	4476	280			
309	4791	280			
309	5169	280			
309	5484	280			
309	5799	280			
309	6177	280			
309	6492	280			
309	6807	280			
309	7185	280			
309	7500	280			
309	7815	280			
309	8130	280			
309	10111	280			
309	10120	280			
309	12067	280			
309	12079	280			
309	10196	300			
309	10193	50			
309	10194	50			
409	67	280			
409	361	280			
409	781	280			
409	1201	280			
409	1621	280			
409	2041	280			
409	2461	280			
409	2881	280			
409	3301	280			
409	3721	280			
409	4162	280			
409	4477	280			
409	4792	280			
409	5170	280			
409	5485	280			
409	5800	280			
409	6178	280			
409	6493	280			
409	6808	280			
409	7186	280			
409	7501	280			
409	7816	280			
409	8131	280			
409	10111	280			
409	10120	280			
409	12067	280			
409	12079	280			
409	10196	300			
409	10193	50			
409	10194	50			
509	68	280			
509	362	280			
509	782	280			
509	1202	280			
509	1622	280			
509	2042	280			
509	2462	280			
509	2882	280			
509	3302	280			
509	3722	280			
509	4163	280			
509	4478	280			
509	4793	280			
509	5171	280			
509	5486	280			
509	5801	280			
509	6179	280			
509	6494	280			
509	6809	280			
509	7187	280			
509	7502	280			
509	7817	280			
509	8132	280			
509	10111	280			
509	10120	280			
509	12067	280			
509	12079	280			
509	10196	300			
509	10193	50			
509	10194	50			
609	69	280			
609	363	280			
609	783	280			
609	1203	280			
609	1623	280			
609	2043	280			
609	2463	280			
609	2883	280			
609	3303	280			
609	3723	280			
609	4164	280			
609	4479	280			
609	4794	280			
609	5172	280			
609	5487	280			
609	5802	280			
609	6180	280			
609	6495	280			
609	6810	280			
609	7188	280			
609	7503	280			
609	7818	280			
609	8133	280			
609	10111	280			
609	10120	280			
609	12067	280			
609	12079	280			
609	10196	300			
609	10193	60			
609	10194	60			
10	316	280			
10	379	280			
10	799	280			
10	1219	280			
10	1639	280			
10	2059	280			
10	2479	280			
10	2899	280			
10	3319	280			
10	3739	280			
10	4180	280			
10	4495	280			
10	4810	280			
10	5188	280			
10	5503	280			
10	5818	280			
10	6196	280			
10	6511	280			
10	6826	280			
10	7204	280			
10	7519	280			
10	7834	280			
10	8149	280			
10	12033	280			
10	12050	280			
10	12055	280			
10	12074	280			
10	12081	280			
10	10196	300			
10	10193	50			
10	10194	50			
210	317	280			
210	380	280			
210	800	280			
210	1220	280			
210	1640	280			
210	2060	280			
210	2480	280			
210	2900	280			
210	3320	280			
210	3740	280			
210	4181	280			
210	4496	280			
210	4811	280			
210	5189	280			
210	5504	280			
210	5819	280			
210	6197	280			
210	6512	280			
210	6827	280			
210	7205	280			
210	7520	280			
210	7835	280			
210	8150	280			
210	12033	280			
210	12050	280			
210	12055	280			
210	12074	280			
210	12081	280			
210	10196	300			
210	10193	50			
210	10194	50			
310	318	280			
310	381	280			
310	801	280			
310	1221	280			
310	1641	280			
310	2061	280			
310	2481	280			
310	2901	280			
310	3321	280			
310	3741	280			
310	4182	280			
310	4497	280			
310	4812	280			
310	5190	280			
310	5505	280			
310	5820	280			
310	6198	280			
310	6513	280			
310	6828	280			
310	7206	280			
310	7521	280			
310	7836	280			
310	8151	280			
310	12033	280			
310	12050	280			
310	12055	280			
310	12074	280			
310	12081	280			
310	10196	300			
310	10193	50			
310	10194	50			
410	319	280			
410	382	280			
410	802	280			
410	1222	280			
410	1642	280			
410	2062	280			
410	2482	280			
410	2902	280			
410	3322	280			
410	3742	280			
410	4183	280			
410	4498	280			
410	4813	280			
410	5191	280			
410	5506	280			
410	5821	280			
410	6199	280			
410	6514	280			
410	6829	280			
410	7207	280			
410	7522	280			
410	7837	280			
410	8152	280			
410	12033	280			
410	12050	280			
410	12055	280			
410	12074	280			
410	12081	280			
410	10196	300			
410	10193	50			
410	10194	50			
510	320	280			
510	383	280			
510	803	280			
510	1223	280			
510	1643	280			
510	2063	280			
510	2483	280			
510	2903	280			
510	3323	280			
510	3743	280			
510	4184	280			
510	4499	280			
510	4814	280			
510	5192	280			
510	5507	280			
510	5822	280			
510	6200	280			
510	6515	280			
510	6830	280			
510	7208	280			
510	7523	280			
510	7838	280			
510	8153	280			
510	12033	280			
510	12050	280			
510	12055	280			
510	12074	280			
510	12081	280			
510	10196	300			
