; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	정보1	정보2	레벨정보	공격거리
100000010	파이어버스트	파이어버스트	10110	0	5	1	0	0	0	0	40	0	0	34	44	1	2	30	0	47	1	10	1800000	2	8	0	0	0	파이어버스트	불의 정령의 힘으로 자신의 공격력을 높입니다.		흑마법30	강화 효과(자신과 대상)
100000011	스파이크아이스	스파이크아이스	10111	0	4	0	0	0	0	0	45	0	0	95	105	0	0	0	0	52	0	10	0	2	9	0	0	0	스파이크아이스	시전자에게서 거대한 얼음 기둥을 발사합니다.		흑마법40	단일 대상
100000012	칠터치	칠터치	10386	0	4	2	0	0	0	0	55	0	0	115	125	0	0	0	0	56	0	9	0	2	10	0	0	0	칠터치	목표까지의 경로에 있는 적들을 관통 공격합니다.		흑마법50	단일 대상
100000013	클라우드킬	클라우드킬	10387	0	4	0	0	0	0	0	60	0	0	132	142	0	0	0	0	62	0	10	0	2	11	0	0	0	클라우드킬	목표까지의 경로에 있는 적들을 관통 공격합니다.		흑마법55	단일 대상
100000014	파이어월	파이어월	10388	0	4	0	0	1	0	0	65	0	0	145	155	0	0	0	0	82	0	6	0	8	12	6	0	0	파이어월	시전자 주위에 불의 장막을 만들어 공격합니다.		흑마법60	범위(2미터)
100001001	라이트닝에로우	라이트닝에로우	10112	0	6	0	0	0	0	0	0	0	0	13	20	0	0	0	0	8	0	12	0	2	13	0	0	0	라이트닝에로우	마법의 번개 화살로 공격합니다.		백마법0	단일 대상
100001002	라이트닝	라이트닝	10113	0	6	0	0	0	0	0	0	5	0	18	25	0	0	0	0	12	0	13	0	2	14	0	0	0	라이트닝	마법의 번개로 공격합니다.		백마법5	단일 대상
100001003	콜라이트닝	콜라이트닝	10114	0	6	0	0	0	0	0	0	10	0	24	31	0	0	0	0	17	0	13	0	2	15	0	0	0	콜라이트닝	하늘에서 번개를 불러 내립니다.		백마법5	단일 대상
100001004	마이이너힐링	마이이너힐링	10115	0	7	0	0	0	0	0	0	15	0	32	39	0	0	0	0	21	1	3	0	2	16	0	0	0	마이이너힐링	전투에서 입은 상처를 치유합니다.		백마법10	단일 대상
100001005	라이트닝피어스	라이트닝피어스	10116	0	6	0	0	0	0	0	0	20	0	38	45	0	0	0	0	25	0	8	0	2	17	0	0	0	라이트닝피어스	번개 마법의 강화된 형태입니다.		백마법15	단일 대상
100001006	윈드소드	윈드소드	10117	0	6	0	0	0	0	0	0	30	0	54	61	0	0	0	0	34	0	9	0	2	18	0	0	0	윈드소드	응축한 바람을 검 모양으로 만들어 공격합니다.		백마법25	단일 대상
100001007	윈드캐논	윈드캐논	10118	0	6	0	0	0	0	0	0	35	0	63	70	0	0	0	0	38	0	14	0	2	19	0	0	0	윈드캐논	바람의 검을 강화해 포탄처럼 발사합니다.		백마법30	범위 공격
100001008	클라우드실드	클라우드실드	10119	0	7	3	0	0	0	0	0	40	0	35	42	2	2	30	0	42	1	10	1800000	2	20	0	0	0	클라우드실드	마법 방패로 물리 피해를 줄입니다.	일반 마법에도 강한 저항력을 제공합니다.	백마법30	강화 효과(자신과 대상)
100001009	윈드스트라이크	윈드스트라이크	10120	0	6	0	0	0	0	0	0	45	0	83	89	0	0	0	0	47	0	10	0	2	21	0	0	0	윈드스트라이크	바람의 소용돌이로 가까운 적을 공격합니다.		백마법40	단일 대상
100001010	큐어라이트	큐어라이트	10389	0	7	0	0	0	0	0	0	55	0	54	61	0	0	0	0	51	2	7	0	2	22	0	0	0	큐어라이트	마이너 힐링을 강화한 상처 치유 마법입니다.		백마법50	자신 또는 대상
100001011	어스스워드	어스스워드	10390	0	6	0	0	0	0	0	0	60	0	117	124	0	0	0	0	61	0	10	0	2	23	0	0	0	어스스워드	땅에서 금빛 검을 솟게 하여 공격합니다.		백마법55	단일 대상
100001012	글래십	글래십	10391	0	6	0	0	1	0	0	0	65	0	129	136	0	0	0	0	80	0	6	0	8	24	6	0	0	글래십	시전자에게서 적을 향해 강력한 전기를 발사합니다.		백마법60	범위(2미터)
100002001	에너지드레인	에너지드레인	10121	4	8	0	0	0	15	0	10	0	0	110	113	0	0	0	0	33	0	3	0	16	25	0	0	0	에너지드레인	적의 체력을 5% 흡수합니다.		근접15+흑마법10	단일 대상
100002002	크리티컬	크리티컬	10122	4	8	0	0	0	0	25	0	0	0	550	553	1	1	20	0	33	0	17	0	8	26	0	0	0	크리티컬	일반 공격 피해가 20% 증가합니다.		원거리25	단일 대상
100002003	파이어에로우	파이어에로우	10123	4	8	0	0	0	0	15	10	0	0	110	113	1	1	10	0	30	0	10	0	8	27	0	0	0	파이어에로우	일반 공격 피해가 10% 증가하고,	주변 2칸의 몬스터에게 20% 추가 피해를 줍니다.	원거리35+흑마법15	범위 공격
100002004	해븐리에로우	해븐리에로우	10124	4	8	0	0	0	0	15	0	10	0	110	113	1	1	10	0	87	0	13	0	8	28	0	0	0	해븐리에로우	일반 공격 피해가 10% 증가합니다. 확률 60%로	언데드 몬스터에게 강력한 치명타를 가합니다.	원거리35+백마법15	범위 공격
100002005	포이즌웨폰	포이즌웨폰	10125	4	8	4	0	0	10	0	15	0	0	110	113	0	0	0	0	30	0	3	10000	8	29	0	0	0	포이즌웨폰	10초 동안 지속 피해를 줍니다.		흑마법35+근접15	단일 대상
100002006	포이즌에로우	포이즌에로우	10126	4	8	5	0	0	0	10	15	0	0	110	113	1	1	10	0	30	0	10	5000	8	30	0	0	0	포이즌에로우	일반 공격 피해가 10% 증가하고 대상을 5초간 얼립니다.	대상을 5초 동안 얼립니다.	흑마법15+근접10	단일 대상
100002007	해븐리스태프	해븐리스태프	10127	4	9	6	0	0	10	0	0	15	0	110	113	2	1	20	0	28	1	3	30000	8	31	0	0	0	해븐리스태프	물리 공격 방어력이 20% 증가합니다.		백마법15+근접10	단일 대상
100002008	해븐리해머	해븐리해머	10128	4	9	0	0	0	0	0	0	25	0	110	113	0	0	0	0	28	2	3	0	8	32	0	0	0	해븐리해머	대상 캐릭터의 체력을 20% 회복합니다.		백마법25	단일 대상
100002009	Advanced FireArrow	파이어에로우	13596	4	8	0	0	0	0	35	15	0	0	600	900	1	1	10	0	30	0	10	0	8	113	0	0	0	파이어에로우	일반 공격 피해가 45% 증가하고,	주변 2칸의 몬스터에게 55% 추가 피해를 줍니다.	원거리35+흑마법15	단일 대상
100003001	워크라이	워크라이	10129	4	9	7	31	0	25	0	0	0	0	0	0	1	1	5	21	30	1	3	180000	2	33	5	0	0	워크라이	공격력 +5%		근접25	자신
100003002	버로우	버로우	10130	4	9	8	5	0	15	10	0	0	0	0	0	1	1	50	21	35	1	3	180000	30	34	5	0	0	버로우	땅속으로 숨습니다. 공격받으면 해제됩니다.	주변 5칸의 적에게 50% 추가 피해 후 종료됩니다.	원거리15+근접10	자신
100003003	블레싱실드	블레싱실드	10131	4	9	9	2	0	15	0	0	10	0	0	0	2	1	10	21	30	1	3	180000	2	35	5	0	0	블레싱실드	방어력 +10%		근접35+백마법15	자신
100003004	스텔스	스텔스	10132	4	9	10	5	0	10	15	0	0	0	0	0	1	1	20	21	38	1	3	180000	30	36	5	0	0	스텔스	투명화합니다. 공격받으면 해제됩니다. 비전투 상태의	적에게는 치명타, 전투 중인 적에게는 일반 피해를 줍니다.	근접10+원거리15	자신
100003005	더스트스킨	더스트스킨	10133	4	9	11	33	0	0	0	25	0	0	0	0	0	0	0	21	38	0	7	180000	10	37	5	0	0	더스트스킨	적의 공격력을 10% 낮춥니다.	흑마법25	단일 대상
100003006	리제너레이션	리제너레이션	10134	4	9	12	7	0	0	0	15	10	0	0	0	0	0	0	21	40	1	3	180000	10	38	5	0	0	리제너레이션	체력의 자연 회복 속도가 두 배가 됩니다.		흑마법15+백마법10	단일 대상
100003007	센스티브	센스티브	10135	4	9	0	15	0	0	10	0	15	0	0	0	0	0	0	21	25	1	3	0	2	39	5	0	0	센스티브	시전자 주변 5칸의 은신한 적에게 약한 피해를 주고	은신 효과를 강제로 해제합니다.	근접10+백마법15	자신
100003008	리쥬버네이션	리쥬버네이션	10136	4	9	13	34	0	0	0	10	15	0	0	0	0	0	0	21	40	1	3	180000	2	40	5	0	0	리쥬버네이션	마력의 자연 회복 속도가 1.5배가 됩니다.		흑마법10+백마법15	자신
100003009	Calvary	Calvary	13597	4	9	7	31	0	25	0	0	0	0	0	0	1	1	5	21	30	1	3	180000	2	33	5	0	0	워크라이	공격력 +9%		근접25	자신
100004001	파티초대	파티초대	10137	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티초대	0	0	0	0
100004002	파티탈퇴	파티탈퇴	10138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티탈퇴	0	0	0	0
100004003	파티추방	파티추방	10139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티추방	0	0	0	0
100004004	파티해체	파티해체	10140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티해체	0	0	0	0
100004005	파티게시판	파티게시판	10141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티게시판	0	0	0	0
100004006	거래신청	거래신청	10142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	거래신청	0	0	0	0
100004007	아이템줍기	아이템줍기	10143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	아이템줍기	0	0	0	0
100004008	퀘스트	퀘스트	10144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	퀘스트	0	0	0	0
100004009	친구등록	친구등록	10145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구등록	0	0	0	0
100004010	친구목록	친구목록	10146	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구목록	0	0	0	0
100004011	친구삭제	친구삭제	10147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구삭제	0	0	0	0
100004012	친구차단	친구차단	10148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구차단	0	0	0	0
100004013	채팅차단	채팅차단	10149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	채팅차단	0	0	0	0
100004014	귓말차단	귓말차단	10150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	귓말차단	0	0	0	0
100004015	거래차단	거래차단	10151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	거래차단	0	0	0	0
100004016	파티차단	파티차단	10152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티차단	0	0	0	0
100004017	위치	위치	10153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	위치	0	0	0	0
100004018	개인상점개설	개인상점개설	10451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	개인상점개설	0	0	0	0
100004027	캐쉬상점개설	캐쉬상점개설	13562	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	캐쉬상점개설	0	0	0	0
100005001	인사	인사	10154	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	인사	0	0	0	0
100005002	경례	경례	10155	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	경례	0	0	0	0
100005003	박수	박수	10156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	박수	0	0	0	0
100005004	죽어	죽어	10157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	죽어	0	0	0	0
100005005	춤	춤	10158	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	춤	0	0	0	0
100006001	단원등용	단원등용	10159	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단원등용	0	0	0	0
100006002	단원제명	단원제명	10160	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단원제명	0	0	0	0
100006003	단탈퇴	단탈퇴	10161	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단탈퇴	0	0	0	0
100006004	진지구축	진지구축	10162	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	진지구축	0	0	0	0
100006005	단공지	단공지	10163	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단공지	0	0	0	0
100006006	단원 리스트	단원 리스트	10164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단원 리스트	0	0	0	0
100006007	총단원리스트	총단원리스트	10165	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	총단원리스트	0	0	0	0
100006008	단장이임	단장이임	10166	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단장이임	0	0	0	0
100006009	부단장승진	부단장승진	10167	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	부단장승진	0	0	0	0
100006010	부단장강등	부단장강등	10168	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	부단장강등	0	0	0	0
100006011	부단장이임	부단장이임	10169	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	부단장이임	0	0	0	0
100006012	자동정리	자동정리	10170	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	자동정리	0	0	0	0
100007001	동맹신청	동맹신청	10171	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	동맹신청	0	0	0	0
100007002	동맹탈퇴	동맹탈퇴	10172	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	동맹탈퇴	0	0	0	0
100007003	동맹초대	동맹초대	10173	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	동맹초대	0	0	0	0
100007004	용병추방	용병추방	10174	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	용병추방	0	0	0	0
100008001	울프클로	울프클로	10392	0	0	0	0	0	10	0	0	0	0	116	118	0	0	0	0	20	0	9	0	4	41	0	0	0	울프클로	위에서 아래로 크게 휘둘러	적을 베어 공격합니다.	근접5	단일 대상
100008002	스텝	스텝	10393	0	0	0	0	0	20	0	0	0	0	184	186	0	0	0	0	25	0	9	0	4	42	0	0	0	스텝	앞으로 찌른 뒤 손을 당겼다가	다시 찔러 공격합니다.	근접10	단일 대상
100008003	블레이드윈드	블레이드윈드	10394	0	0	0	0	0	30	0	0	0	0	266	268	0	0	0	0	35	0	9	0	4	43	0	0	0	블레이드윈드	위에서 아래로 대각선으로	베어 공격합니다.	근접20	단일 대상
100008004	베어크로	베어크로	12031	0	0	0	0	0	40	0	0	0	0	320	322	0	0	0	0	30	0	9	0	5	47	0	0	10392	베어크로	가위표 모양으로 베어	적에게 치명적인 상처를 입힙니다.	근접30	단일 대상
100008005	오거클로	오거클로	12032	0	0	0	0	0	60	0	0	0	0	456	458	0	0	0	0	40	0	9	0	6	48	0	0	12031	오거클로	위에서 아래로 크게 휘둘러	적을 베어 공격합니다.	근접50	범위 공격
100008006	와일드스텝	와일드스텝	12033	0	0	0	0	0	50	0	0	0	0	388	390	0	0	0	0	35	0	9	0	5	49	0	0	10393	와일드스텝	앞으로 찌른 뒤 손을 당겼다가	다시 찔러 공격합니다.	근접40	단일 대상
100008007	버스트스텝	버스트스텝	12034	0	0	0	0	3	70	0	0	0	0	456	458	0	0	0	0	45	0	7	0	8	50	8	0	12033	버스트스텝	앞으로 찌른 뒤 손을 당겼다가	다시 찔러 공격합니다.	근접60	범위 공격
100008008	블레이드브리즈	블레이드브리즈	12035	0	0	0	0	0	60	0	0	0	0	470	472	0	0	0	0	40	0	9	0	5	51	0	0	10394	블레이드브리즈	몸을 회전하며	가로로 베어 공격합니다.	근접50	단일 대상
100008009	블레이드게일	블레이드게일	12036	0	0	0	0	2	80	0	0	0	0	538	540	0	0	0	0	50	0	9	0	8	52	10	0	12035	블레이드게일	위에서 아래로 대각선으로	베어 공격합니다.	근접70	범위 공격
100008010	본브레이크	본브레이크	12037	0	0	0	0	2	40	0	0	0	0	348	350	0	0	0	0	35	0	6	0	8	53	7	0	0	본브레이크	도끼를 휘두르듯	강하게 내려칩니다.	근접30	범위 공격
100008011	더블브레이크	더블브레이크	12038	0	0	0	0	0	70	0	0	0	0	524	526	0	0	0	0	45	0	9	0	5	54	0	0	12037	더블브레이크	도끼를 휘두르듯	강하게 내려칩니다.	근접60	단일 대상
100008012	브레이크레볼루션	브레이크레볼루션	12039	0	0	0	0	0	90	0	0	0	0	688	690	0	0	0	0	55	0	9	0	6	55	0	0	12038	브레이크레볼루션	도끼를 휘두르듯	강하게 내려칩니다.	근접80	기절
100009001	스피릿애로우	스피릿애로우	10395	0	2	0	0	0	0	10	0	0	0	84	89	0	0	0	0	20	0	11	0	5	44	0	0	0	스피릿애로우	영적인 힘을 담은 흰 화살입니다.		원거리5	단일 대상
100009002	파이어혼	파이어혼	10396	0	2	0	0	0	0	20	0	0	0	141	146	0	0	0	0	25	0	11	0	5	45	0	0	0	파이어혼	붉은 불꽃을 담은 화살입니다.		원거리10	단일 대상
100009003	더블샷	더블샷	10397	0	2	0	0	0	0	30	0	0	0	108	113	0	0	0	0	35	0	11	0	5	46	0	0	0	더블샷	화살 두 발을 한 번에 발사합니다.		원거리20	단일 대상
100009004	다크스피릿애로우	다크스피릿애로우	12040	0	2	0	0	0	0	40	0	0	0	173	178	0	0	0	0	30	0	11	0	6	56	0	0	10395	다크스피릿애로우	어둠의 영력을 담은 화살입니다.		원거리30	단일 대상
100009005	블러드스피릿애로우	블러드스피릿애로우	12041	0	2	0	0	0	0	60	0	0	0	301	306	0	0	0	0	40	0	11	0	7	57	0	0	12040	블러드스피릿애로우	붉은 영력을 담은 화살입니다.		원거리50	범위 공격
100009006	아이스혼	아이스혼	12042	0	2	0	0	0	0	50	0	0	0	237	242	0	0	0	0	35	0	11	0	6	58	0	0	10396	아이스혼	하얀 불꽃을 담은 화살입니다.		원거리40	단일 대상
100009007	라이트닝혼	라이트닝혼	12043	0	2	0	0	0	0	70	0	0	0	333	338	0	0	0	0	45	0	11	0	7	59	0	0	12042	라이트닝혼	번개를 담은 화살입니다.		원거리60	단일 대상
100009008	트리플샷	트리플샷	12044	0	2	0	0	0	0	60	0	0	0	168	173	0	0	0	0	40	0	11	0	6	60	0	0	10397	트리플샷	화살 세 발을 한 번에 발사합니다.		원거리50	단일 대상
100009009	더블더블샷	더블더블샷	12045	0	2	0	0	0	0	80	0	0	0	228	233	0	0	0	0	50	0	11	0	7	61	0	0	12044	더블더블샷	한 번의 공격으로 화살 두 발을 두 차례 명중시킵니다.		원거리80	단일 대상
100009010	패너트레이션	패너트레이션	12046	0	2	0	0	3	0	40	0	0	0	301	311	0	0	0	0	55	0	9	0	10	62	10	0	0	패너트레이션	목표까지의 경로에 있는 모든 적을 공격합니다.		원거리30	범위 공격
100009011	파워패너트레이션	파워패너트레이션	12047	0	2	0	0	3	0	70	0	0	0	333	338	0	0	0	0	65	0	10	0	10	63	11	0	12046	파워패너트레이션	목표까지의 경로에 있는 모든 적을 공격합니다.		원거리60	범위 공격
100009012	데쓰패너트레이션	데쓰패너트레이션	12048	0	2	0	0	3	0	90	0	0	0	397	402	0	0	0	0	75	0	11	0	10	64	12	0	12047	데쓰패너트레이션	목표까지의 경로에 있는 모든 적을 공격합니다.		원거리80	범위 공격
100004019	NON_PK 모드	NON_PK 모드	10452	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NON_PK 모드	0	0	0	0
100004020	무작위 PK 모드	무작위 PK 모드	10453	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	무작위 PK 모드	0	0	0	0
100004021	길드 PK 모드	길드 PK 모드	10454	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	길드 PK 모드	0	0	0	0
100004022	파티 PK 모드	파티 PK 모드	10455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티 PK 모드	0	0	0	0
100004023	전쟁상황도	전쟁상황도	10456	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	전쟁상황도	0	0	0	0
100004024	세율조절	세율조절	10457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	세율조절	0	0	0	0
100004025	배틀 PK 모드	배틀 PK 모드	13556	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	배틀 PK 모드	0	0	0	0
100004026	배틀 PK 신청	배틀 PK 신청	13557	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	배틀 PK 신청	0	0	0	0
100010000	라이트닝애로우볼트	라이트닝애로우볼트	12049	0	6	0	0	0	0	0	0	30	0	54	61	1	2	0	0	34	0	12	0	2	65	0	0	10112	라이트닝애로우볼트	응축한 번개로 공격합니다.		백마법25	단일 대상
100010001	라이트닝애로우웨이브	라이트닝애로우웨이브	12050	0	6	0	0	0	0	0	0	50	0	93	100	0	0	0	0	49	0	12	0	3	66	0	0	12049	라이트닝애로우웨이브	응축한 번개를 파동 형태로 발사합니다.		백마법45	단일 대상
100010002	라이트닝볼트	라이트닝볼트	12051	0	6	0	0	0	0	0	0	35	0	63	70	0	0	0	0	38	0	13	0	2	67	0	0	10113	라이트닝볼트	응축한 번개로 공격합니다.		백마법30	단일 대상
100010003	라이트닝웨이브	라이트닝웨이브	12052	0	6	0	0	0	0	0	0	55	0	104	111	0	0	0	0	51	0	13	0	3	68	0	0	12051	라이트닝웨이브	응축한 번개를 파동 형태로 발사합니다.		백마법50	단일 대상
100010004	콜라이트닝볼트	콜라이트닝볼트	12053	0	6	0	0	0	0	0	0	40	0	73	80	0	0	0	0	42	0	13	0	2	69	0	0	10114	콜라이트닝볼트	굵은 번개 줄기로 공격합니다.		백마법35	단일 대상
100010005	콜라이트닝웨이브	콜라이트닝웨이브	12054	0	6	0	0	0	0	0	0	60	0	117	124	0	0	0	0	61	0	13	0	3	70	0	0	12053	콜라이트닝웨이브	번개 파동으로 공격합니다.		백마법55	범위 공격
100010006	체인라이트닝피어스	체인라이트닝피어스	12055	0	6	0	0	0	0	0	0	50	0	93	100	0	0	0	0	49	0	7	0	8	71	8	0	10116	체인라이트닝피어스	일직선으로 이어지는 연쇄 번개를 발사합니다.		백마법45	범위 공격
100010007	쇼크라이트닝피어스	쇼크라이트닝피어스	12056	0	6	0	0	3	0	0	0	70	0	142	149	0	0	0	0	81	0	8	0	8	72	9	0	12055	쇼크라이트닝피어스	강력하고 굵은 번개로	일직선상의 모든 적을 공격합니다.	백마법65	범위 공격
100010008	일렉트릭	일렉트릭	12057	0	6	0	0	1	0	0	0	95	0	215	222	0	0	0	0	141	0	9	0	8	73	10	0	10391	일렉트릭	시전자에게서 적을 향해	원형 전기를 발사합니다.	백마법90	범위 공격
100010009	썬더볼트	썬더볼트	12058	0	6	0	0	1	0	0	0	115	0	285	292	0	0	0	0	182	0	10	0	8	74	11	0	12057	썬더볼트	시전자 주변에	강력한 번개를 내리칩니다.	백마법100	범위 공격
100010010	윈드실드	윈드실드	12059	0	6	0	0	0	0	0	0	60	0	117	124	0	0	0	0	61	0	9	0	2	75	0	0	10117	윈드실드	응축한 바람을 방패 모양으로 만듭니다.		백마법55	단일 대상
100010011	윈드애로우	윈드애로우	12060	0	6	0	0	0	0	0	0	80	0	164	166	0	0	0	0	111	0	9	0	3	76	0	0	12059	윈드애로우	응축한 바람을 화살 모양으로 발사합니다.		백마법75	단일 대상
100010012	원드볼	원드볼	12061	0	6	0	0	0	0	0	0	65	0	129	136	0	0	0	0	71	0	14	0	2	77	0	0	10118	윈드볼	커다란 구체 형태의 바람 마법입니다.		백마법60	단일 대상
100010013	윈드스피어	윈드스피어	12062	0	6	0	0	0	0	0	0	85	0	184	191	0	0	0	0	96	0	14	0	3	78	0	0	12061	윈드스피어	커다란 구체 형태의 바람 마법입니다.		백마법80	단일 대상
