;	Item Numb	English	Korean Name	Type	Level	최소공격	최대공격	최소마법	최대마법	슬롯갯수	확률	착용직업	공격 범위	내구력	내구력경험치	공격속도	아이템속성	아이템성향	아이템무게	필요힘	필요지혜	필요민첩	필요카리스마	수리가격	판매가격	구입가격	힘+	지혜+	민첩+	카리스마+	체력+	마나+	물리데미지+	마법데미지+	방어력+	마법저항+	근거리	원거리	흑마법	백마법	힘-	지혜-	민첩-	카리스마-	체력-	마나-	물리데미지	마법데미지	방어력	마법저항	근거리	원거리	흑마법	백마법	남자이미지	2	3	4	5	남자스킨	여자이미지	2	3	4	5	여자스킨		
27	5	+5 링 대거	+5 링 대거	1	1	18	20	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	17	81	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	14	0
28	6	+6 링 대거	+6 링 대거	1	1	24	26	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	17	85	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	20	0
29	7	+7 링 대거	+7 링 대거	1	1	29	31	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	18	89	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	25	0
30	8	+8 링 대거	+8 링 대거	1	1	37	39	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	19	94	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	32	0
31	9	+9 링 대거	+9 링 대거	1	1	45	47	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	20	99	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	40	0
32	10	+10 링 대거	+10 링 대거	1	1	54	56	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	21	104	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	49	0
33	11	+11 링 대거	+11 링 대거	1	1	64	66	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	22	109	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	59	0
34	12	+12 링 대거	+12 링 대거	1	1	77	79	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	23	115	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	71	0
35	13	+13 링 대거	+13 링 대거	1	1	91	93	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	24	120	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	85	0
36	14	+14 링 대거	+14 링 대거	1	1	105	107	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	26	126	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	98	0
37	15	+15 링 대거	+15 링 대거	1	1	121	123	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	27	133	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	114	0
38	16	+16 링 대거	+16 링 대거	1	1	139	141	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	28	140	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	131	0
39	17	+17 링 대거	+17 링 대거	1	1	159	161	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	30	147	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	151	0
40	18	+18 링 대거	+18 링 대거	1	1	182	184	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	31	154	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	173	0
41	19	+19 링 대거	+19 링 대거	1	1	208	210	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	33	162	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	198	0
42	20	+20 링 대거	+20 링 대거	1	1	237	239	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	34	170	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	227	0
43	0	키드니대거	키드니대거	1	1	5	7	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	19	94	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	0	0
44	1	+1 키드니대거	+1 키드니대거	1	2	7	9	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	20	99	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	2	0
45	2	+2 키드니대거	+2 키드니대거	1	2	9	11	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	21	104	517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	4	0
46	3	+3 키드니대거	+3 키드니대거	1	2	14	16	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	22	109	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	9	0
47	4	+4 키드니대거	+4 키드니대거	1	2	16	18	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	23	115	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	11	0
48	5	+5 키드니대거	+5 키드니대거	1	2	19	21	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	24	120	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	14	0
49	6	+6 키드니대거	+6 키드니대거	1	2	26	28	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	26	126	630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	21	0
50	7	+7 키드니대거	+7 키드니대거	1	2	30	32	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	27	133	662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	25	0
51	8	+8 키드니대거	+8 키드니대거	1	2	39	41	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	28	140	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	33	0
52	9	+9 키드니대거	+9 키드니대거	1	2	47	49	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	30	147	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	41	0
53	10	+10 키드니대거	+10 키드니대거	1	2	57	59	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	31	154	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	51	0
54	11	+11 키드니대거	+11 키드니대거	1	2	68	70	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	33	162	807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	62	0
55	12	+12 키드니대거	+12 키드니대거	1	2	81	83	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	34	170	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	74	0
