;상점번호	아이템번호
17	7204
17	7225
17	10198
17	4453
17	4474
17	4495
17	4516
17	10197
17	6469
17	6490
17	6511
17	6532
17	10197
17	5461
17	5482
17	5503
17	5524
17	10197
17	7477
17	7498
17	7519
17	7540
17	10198
17	4768
17	4789
17	4810
17	4831
17	10197
17	6784
17	6805
17	6826
17	6847
17	10197
17	5776
17	5797
17	5818
17	5839
17	10197
17	7792
17	7813
17	7834
17	7855
17	8107
17	8128
17	8149
17	8170
17	8191
18	10095
18	10096
18	10097
18	10197
18	10098
18	10099
18	10100
18	10177
18	10178
18	10179
18	10180
18	10181
18	10182
19	736
19	757
19	778
19	799
19	820
19	841
19	862
19	883
19	10198
19	1996
19	2017
19	2038
19	2059
19	2080
19	2101
19	2122
19	2143
19	10198
19	3256
19	3277
19	3298
19	3319
19	3340
19	3361
19	3382
19	3403
20	4159
20	4180
20	4201
20	4222
20	10197
20	6175
20	6196
20	6217
20	6238
20	10197
20	5167
20	5188
20	5209
20	5230
20	10197
20	7183
20	7204
20	7225
20	7246
20	10198
20	4474
20	4495
20	4516
20	4537
20	10197
20	6490
20	6511
20	6532
20	6553
20	10197
20	5482
20	5503
20	5524
20	5545
20	10197
20	7498
20	7519
20	7540
20	7561
20	10198
20	4789
20	4810
20	4831
20	4852
20	10197
20	6805
20	6826
20	6847
20	6868
20	10197
20	5797
20	5818
20	5839
20	5860
20	10197
20	7813
20	7834
20	7855
20	7876
20	10197
20	8128
20	8149
20	8170
20	8191
21	10095
21	10096
21	10097
21	10197
21	10098
21	10099
21	10100
21	10177
21	10178
21	10179
21	10180
21	10181
21	10182
22	1
22	22
22	43
22	64
22	85
22	106
22	10197
22	337
22	358
22	379
22	400
22	421
22	442
22	463
22	484
22	10197
22	757
22	778
22	799
22	820
22	841
22	862
22	883
22	904
22	10198
22	1177
22	1198
22	1219
22	1240
22	1261
22	1282
22	1303
22	1324
22	10197
22	1597
22	1618
22	1639
22	1660
22	1681
22	1702
22	1723
22	1744
22	10197
22	2017
22	2038
22	2059
22	2080
22	2101
22	2122
22	2143
22	2164
22	10197
22	2437
22	2458
22	2479
22	2500
22	2521
22	2542
22	2563
22	2584
22	10198
22	2857
22	2878
22	2899
22	2920
22	2941
22	2962
22	2983
22	3004
22	10197
22	3277
22	3298
22	3319
22	3340
22	3361
22	3382
22	3403
22	3424
23	4159
23	4180
23	4201
23	4222
23	10197
23	6175
23	6196
23	6217
23	6238
23	10197
23	5167
23	5188
23	5209
23	5230
23	10197
23	7183
23	7204
23	7225
23	7246
23	10198
23	4474
23	4495
23	4516
23	4537
23	10197
23	6490
23	6511
23	6532
23	6553
23	10197
23	5482
23	5503
23	5524
23	5545
23	10197
23	7498
23	7519
23	7540
23	7561
23	10198
23	4789
23	4810
23	4831
23	4852
23	10197
23	6805
23	6826
23	6847
23	6868
23	10197
23	5797
23	5818
23	5839
23	5860
23	10197
23	7813
23	7834
23	7855
23	7876
23	10197
23	8128
23	8149
23	8170
23	8191
24	10095
24	10096
24	10097
24	10197
24	10098
24	10099
24	10100
24	10177
24	10178
24	10179
24	10180
24	10181
24	10182
28	1
28	22
28	43
28	64
28	85
28	106
28	10197
28	337
28	358
28	379
28	400
28	421
28	442
28	463
28	484
28	10197
28	757
28	778
28	799
28	820
28	841
28	862
28	883
28	904
28	10198
28	1177
28	1198
28	1219
28	1240
28	1261
28	1282
28	1303
28	1324
28	10197
28	1597
28	1618
28	1639
28	1660
28	1681
28	1702
28	1723
28	1744
28	10197
28	2017
28	2038
28	2059
28	2080
28	2101
28	2122
28	2143
28	2164
28	10197
28	2437
28	2458
28	2479
28	2500
28	2521
28	2542
28	2563
28	2584
28	10198
28	2857
28	2878
28	2899
28	2920
28	2941
28	2962
28	2983
28	3004
28	10197
28	3277
28	3298
28	3319
28	3340
28	3361
28	3382
28	3403
28	3424
29	4201
29	4222
29	10197
29	6175
29	6196
29	6217
29	6238
29	10197
29	5167
29	5188
29	5209
29	5230
29	10197
29	7183
29	7204
29	7225
29	7246
29	10198
29	4474
29	4495
29	4516
29	4537
29	10197
29	6490
29	6511
29	6532
29	6553
29	10197
29	5482
29	5503
29	5524
29	5545
29	10197
29	7498
29	7519
29	7540
29	7561
29	10198
29	4789
29	4810
29	4831
29	4852
29	10197
29	6805
29	6826
29	6847
29	6868
29	10197
29	5797
29	5818
29	5839
29	5860
29	10197
29	7813
29	7834
29	7855
29	7876
29	10197
29	8128
29	8149
29	8170
29	8191
30	10095
30	10096
30	10097
30	10197
30	10098
30	10099
30	10100
30	10177
30	10178
30	10179
30	10180
30	10181
30	10182
32	1
32	22
32	43
32	64
32	85
32	106
32	10197
32	337
32	358
32	379
32	400
32	421
32	442
32	463
32	484
32	10197
32	757
32	778
32	799
32	820
32	841
32	862
32	883
32	904
32	10198
32	1177
32	1198
32	1219
32	1240
32	1261
32	1282
32	1303
32	1324
32	10197
32	1597
32	1618
32	1639
32	1660
32	1681
32	1702
32	1723
32	1744
32	10197
32	2017
32	2038
32	2059
32	2080
32	2101
32	2122
32	2143
32	2164
32	10197
32	2437
32	2458
32	2479
32	2500
32	2521
32	2542
32	2563
32	2584
32	10198
32	2857
32	2878
32	2899
32	2920
32	2941
32	2962
32	2983
32	3004
32	10197
32	3277
32	3298
32	3319
32	3340
32	3361
32	3382
32	3403
32	3424
33	4201
33	4222
33	10197
33	6175
33	6196
33	6217
33	6238
33	10197
33	5167
33	5188
33	5209
33	5230
33	10197
33	7183
33	7204
33	7225
33	7246
33	10198
33	4474
33	4495
33	4516
33	4537
33	10197
33	6490
33	6511
33	6532
33	6553
33	10197
33	5482
33	5503
33	5524
33	5545
33	10197
33	7498
33	7519
33	7540
33	7561
33	10198
33	4789
33	4810
33	4831
33	4852
33	10197
33	6805
33	6826
33	6847
33	6868
33	10197
33	5797
33	5818
33	5839
33	5860
33	10197
33	7813
33	7834
33	7855
33	7876
33	10197
33	8128
33	8149
33	8170
33	8191
34	10095
34	10096
34	10097
34	10197
34	10098
34	10099
34	10100
34	10177
34	10178
34	10179
34	10180
34	10181
34	10182
35	1
35	22
35	43
35	64
35	85
35	106
35	10197
35	337
35	358
35	379
35	400
35	421
35	442
35	463
35	484
35	10197
35	757
35	778
35	799
35	820
35	841
35	862
35	883
35	904
35	10198
35	1177
35	1198
35	1219
35	1240
35	1261
35	1282
35	1303
35	1324
35	10197
35	1597
35	1618
35	1639
35	1660
35	1681
35	1702
35	1723
35	1744
35	10197
35	2017
35	2038
35	2059
35	2080
35	2101
35	2122
35	2143
35	2164
35	10197
35	2437
35	2458
35	2479
35	2500
35	2521
35	2542
35	2563
35	2584
35	10198
35	2857
35	2878
35	2899
35	2920
35	2941
35	2962
35	2983
35	3004
35	10197
35	3277
35	3298
35	3319
35	3340
35	3361
35	3382
35	3403
35	3424
36	10095
36	10096
36	10097
36	10197
36	10098
36	10099
36	10100
36	10177
37	4159
37	4180
37	4201
37	4222
37	10197
37	6175
37	6196
37	6217
37	6238
37	10197
37	5167
37	5188
37	5209
37	5230
37	10197
37	7183
37	7204
37	7225
37	7246
37	10198
37	4474
37	4495
37	4516
37	4537
37	10197
37	6490
37	6511
37	6532
37	6553
37	10197
37	5482
37	5503
37	5524
37	5545
37	10197
37	7498
37	7519
37	7540
37	7561
37	10198
37	4789
37	4810
37	4831
37	4852
37	10197
37	6805
37	6826
37	6847
37	6868
37	10197
37	5797
37	5818
37	5839
37	5860
37	10197
37	7813
37	7834
37	7855
37	7876
37	10197
37	8128
37	8149
37	8170
37	8191
100	85
100	106
100	127
100	148
100	169
100	190
100	211
100	232
100	253
100	274
100	295
100	316
100	337
100	358
100	379
100	400
100	421
100	442
100	463
100	484
100	505
100	526
100	547
100	568
100	589
100	610
100	631
100	652
100	673
100	694
100	715
100	736
100	757
100	778
100	799
100	820
100	841
100	862
100	883
100	904
100	925
100	946
100	967
100	988
100	1009
100	10198
100	1030
100	1051
100	1072
100	1093
100	1114
100	1135
100	1156
100	1177
100	1198
100	1219
100	1240
100	1261
100	1282
100	1303
100	1324
100	1345
100	1366
100	1387
100	1408
100	1429
100	1450
100	1471
100	1492
100	1513
100	1534
100	1555
100	1576
100	1597
100	1618
100	1639
100	1660
100	1681
100	1702
100	1723
100	1744
100	1765
100	1786
100	1807
100	1828
100	1849
100	10198
100	1870
100	1891
100	1912
100	1933
100	1954
100	1975
100	1996
100	2017
100	2038
100	2059
100	2080
100	2101
100	2122
100	2143
100	2164
100	2185
100	2206
100	2227
100	2248
100	2269
100	2290
100	2311
100	2332
100	2353
100	2374
100	2395
100	2416
100	2437
100	2458
100	2479
100	2500
100	2521
100	2542
100	2563
100	2584
100	2605
100	2626
100	2647
100	2668
100	2689
101	2710
101	2731
101	2752
101	2773
101	2794
101	2815
101	2836
101	2857
101	2878
101	2899
101	2920
101	2941
101	2962
101	2983
101	3004
101	3025
101	3046
101	3067
101	3088
101	3109
101	10198
101	3130
101	3151
101	3172
101	3193
101	3214
101	3235
101	3256
101	3277
101	3298
101	3319
101	3340
101	3361
101	3382
101	3403
101	3424
101	3445
101	3466
101	3487
101	3508
101	3529
101	10198
101	3550
101	3571
101	3592
101	3613
101	3634
101	3655
101	3676
101	3697
101	3718
101	3739
101	3760
101	3781
101	3802
101	3823
101	3844
101	3865
101	3886
101	3907
101	3928
101	3949
103	4243
103	4264
103	4285
103	4306
103	4327
103	4558
103	4579
103	4600
103	4621
103	4642
103	4873
103	4894
103	4915
103	4936
103	4957
103	5251
103	5272
103	5293
103	5314
103	5335
103	5566
103	5587
103	5608
103	5629
103	5650
103	5881
103	5902
103	5923
103	5944
103	5965
103	6259
103	6280
103	6301
103	6322
103	6343
103	6574
103	6595
103	6616
103	6637
103	6658
103	6889
103	6910
103	6931
103	6952
103	6973
103	10198
103	7267
103	7288
103	7309
103	7330
103	7351
103	7582
103	7603
103	7624
103	7645
103	7666
103	7897
103	7918
103	7939
103	7960
103	7981
103	8212
103	8233
103	8254
103	8275
103	8296
104	10095
104	10096
104	10097
104	10197
104	10098
104	10099
104	10100
104	10197
104	10103
104	10104
104	10105
104	10106
104	10107
104	10197
104	10108
104	10109
104	10110
104	10111
104	10197
104	10112
104	10113
104	10114
104	10115
104	10116
104	10197
104	10117
104	10118
104	10119
104	10120
104	10198
104	10129
104	10130
104	10121
104	10131
104	10197
104	10132
104	10122
104	10123
104	10124
104	10197
104	10125
104	10126
104	10133
104	10134
104	10197
104	10127
104	10135
104	10136
104	10128
104	10198
104	10193
104	10194
104	10177
104	10178
104	10179
104	10180
104	10181
104	10182
