;상점번호	아이템번호
15	10181
15	10182
16	400
16	421
16	820
16	841
16	1240
16	1261
16	1660
16	1681
16	2080
16	2101
16	10198
16	2500
16	2521
16	10198
16	2920
16	2941
16	3340
16	3361
16	3760
16	3781
17	4201
17	4222
17	5209
17	5230
17	6217
17	6238
17	7225
17	7246
17	8170
17	10198
17	4516
17	4537
17	5524
17	5545
17	6532
17	6553
17	7540
17	7561
17	10198
17	4831
17	4852
17	5839
17	5860
17	6847
17	6868
17	7855
17	7876
18	10095
18	10096
18	10097
18	10098
18	10099
18	10100
18	10177
18	10178
18	10179
18	10180
18	10181
18	10182
19	505
19	526
19	925
19	946
19	1345
19	1366
19	1765
19	1786
19	2185
19	2206
19	10198
19	2605
19	2626
19	10198
19	3025
19	3046
19	3445
19	3466
19	3865
19	3886
20	4285
20	5293
20	6301
20	7309
20	8254
20	10198
20	4600
20	5608
20	6616
20	7624
20	10198
20	4285
20	5293
20	6301
20	7309
21	10095
21	10096
21	10097
21	10098
21	10099
21	10100
21	10177
21	10178
21	10179
21	10180
21	10181
21	10182
22	568
22	988
22	1408
22	1828
22	2248
22	10198
22	2668
22	10198
22	3088
22	3508
22	3928
23	4306
23	5314
23	6322
23	7330
23	8275
23	10198
23	4621
23	5629
23	6637
23	7645
23	10198
23	4936
23	5944
23	6952
23	7960
24	10095
24	10096
24	10097
24	10098
24	10099
24	10100
24	10177
24	10178
24	10179
24	10180
24	10181
24	10182
28	1
28	22
28	43
28	64
28	85
28	106
28	10197
28	337
28	358
28	379
28	400
28	421
28	442
28	463
28	484
28	10197
28	757
28	778
28	799
28	820
28	841
28	862
28	883
28	904
28	10198
28	1177
28	1198
28	1219
28	1240
28	1261
28	1282
28	1303
28	1324
28	10197
28	1597
28	1618
28	1639
28	1660
28	1681
28	1702
28	1723
28	1744
28	10197
28	2017
28	2038
28	2059
28	2080
28	2101
28	2122
28	2143
28	2164
28	10197
28	2437
28	2458
28	2479
28	2500
28	2521
28	2542
28	2563
28	2584
28	10198
28	2857
28	2878
28	2899
28	2920
28	2941
28	2962
28	2983
28	3004
28	10197
28	3277
28	3298
28	3319
28	3340
28	3361
28	3382
28	3403
28	3424
29	4201
29	4222
29	10197
29	6175
29	6196
29	6217
29	6238
29	10197
29	5167
29	5188
29	5209
29	5230
29	10197
29	7183
29	7204
29	7225
29	7246
29	10198
29	4474
29	4495
29	4516
29	4537
29	10197
29	6490
29	6511
29	6532
29	6553
29	10197
29	5482
29	5503
29	5524
29	5545
29	10197
29	7498
29	7519
29	7540
29	7561
29	10198
29	4789
29	4810
29	4831
29	4852
29	10197
29	6805
29	6826
29	6847
29	6868
29	10197
29	5797
29	5818
29	5839
29	5860
29	10197
29	7813
29	7834
29	7855
29	7876
29	10197
29	8128
29	8149
29	8170
29	8191
30	10095
30	10096
30	10097
30	10197
30	10098
30	10099
30	10100
30	10177
30	10178
30	10179
30	10180
30	10181
30	10182
32	1
32	22
32	43
32	64
32	85
32	106
32	10197
32	337
32	358
32	379
32	400
32	421
32	442
32	463
32	484
32	10197
32	757
32	778
32	799
32	820
32	841
32	862
32	883
32	904
32	10198
32	1177
32	1198
32	1219
32	1240
32	1261
32	1282
32	1303
32	1324
32	10197
32	1597
32	1618
32	1639
32	1660
32	1681
32	1702
32	1723
32	1744
32	10197
32	2017
32	2038
32	2059
32	2080
32	2101
32	2122
32	2143
32	2164
32	10197
32	2437
32	2458
32	2479
32	2500
32	2521
32	2542
32	2563
32	2584
32	10198
32	2857
32	2878
32	2899
32	2920
32	2941
32	2962
32	2983
32	3004
32	10197
32	3277
32	3298
32	3319
32	3340
32	3361
32	3382
32	3403
32	3424
33	4201
33	4222
33	10197
33	6175
33	6196
33	6217
33	6238
33	10197
33	5167
33	5188
33	5209
33	5230
33	10197
33	7183
33	7204
33	7225
33	7246
33	10198
33	4474
33	4495
33	4516
33	4537
33	10197
33	6490
33	6511
33	6532
33	6553
33	10197
33	5482
33	5503
33	5524
33	5545
33	10197
33	7498
33	7519
33	7540
33	7561
33	10198
33	4789
33	4810
33	4831
33	4852
33	10197
33	6805
33	6826
33	6847
33	6868
33	10197
33	5797
33	5818
33	5839
33	5860
33	10197
33	7813
33	7834
33	7855
33	7876
33	10197
33	8128
33	8149
33	8170
33	8191
34	10095
34	10096
34	10097
34	10197
34	10098
34	10099
34	10100
34	10177
34	10178
34	10179
34	10180
34	10181
34	10182
35	1
35	22
35	43
35	64
35	85
35	106
35	10197
35	337
35	358
35	379
35	400
35	421
35	442
35	463
35	484
35	10197
35	757
35	778
35	799
35	820
35	841
35	862
35	883
35	904
35	10198
35	1177
35	1198
35	1219
35	1240
35	1261
35	1282
35	1303
35	1324
35	10197
35	1597
35	1618
35	1639
35	1660
35	1681
35	1702
35	1723
35	1744
35	10197
35	2017
35	2038
35	2059
35	2080
35	2101
35	2122
35	2143
35	2164
35	10197
35	2437
35	2458
35	2479
35	2500
35	2521
35	2542
35	2563
35	2584
35	10198
35	2857
35	2878
35	2899
35	2920
35	2941
35	2962
35	2983
35	3004
35	10197
35	3277
35	3298
35	3319
35	3340
35	3361
35	3382
35	3403
35	3424
36	10095
36	10096
36	10097
36	10197
36	10098
36	10099
36	10100
36	10177
37	4159
37	4180
37	4201
37	4222
37	10197
37	6175
37	6196
37	6217
37	6238
37	10197
37	5167
37	5188
37	5209
37	5230
37	10197
37	7183
37	7204
37	7225
37	7246
37	10198
37	4474
37	4495
37	4516
37	4537
37	10197
37	6490
37	6511
37	6532
37	6553
37	10197
37	5482
37	5503
37	5524
37	5545
37	10197
37	7498
37	7519
37	7540
37	7561
37	10198
37	4789
37	4810
37	4831
37	4852
37	10197
37	6805
37	6826
37	6847
37	6868
37	10197
37	5797
37	5818
37	5839
37	5860
37	10197
37	7813
37	7834
37	7855
37	7876
37	10197
37	8128
37	8149
37	8170
37	8191
