;레벨	근거리 필요경험치	원거리 필요경험치	흑마법 필요경험치	백마법 필요경험치
75	2372248	2312924	2254824	2197864
76	2491684	2429404	2368388	2308580
77	2615580	2550216	2486196	2423428
78	2744036	2675492	2608336	2542512
79	2877164	2805312	2734924	2665928
80	3015080	2939800	2866060	2793776
81	3157888	3079072	3001860	2926172
82	3305712	3223224	3142420	3063216
83	3458664	3372388	3287864	3205012
84	3616860	3526656	3438296	3351672
85	3780420	3686164	3593828	3503312
86	3949464	3851024	3754576	3660036
87	4124112	4021336	3920656	3821960
88	4304488	4197248	4092176	3989200
89	4490720	4378856	4269280	4161856
90	4682912	4566304	4452056	4340056
91	4881224	4759696	4640632	4523928
92	5085760	4959168	4835144	4713576
93	5296656	5164840	5035704	4909112
94	5514048	5376848	5242440	5110680
95	5738048	5595312	5455472	5318392
96	5968808	5820368	5674928	5532360
97	6206464	6052136	5900936	5752720
98	6451136	6290760	6133632	5979600
99	6702992	6536376	6373136	6213128
100	6962112	6789104	6619584	6453416
101	7228704	7049088	6873120	6700624
102	7502848	7316464	7133856	6954832
103	7784752	7591392	7401936	7216240
104	8074496	7873984	7677520	7484944
105	8372256	8164384	7960704	7761056
106	8678176	8462736	8251664	8044736
107	8992416	8769216	8550528	8336160
108	9315088	9083920	8857424	8635376
109	9646384	9407024	9172496	8942624
110	9986416	9738672	9495936	9257952
111	10335392	10079024	9827808	9581584
112	10693392	10428192	10168336	9913600
113	11060656	10786352	10517616	10254176
114	11437248	11153680	10875824	10603456
115	11823424	11530304	11243104	10961568
116	12219264	11916384	11619616	11328704
117	12624960	12312064	12005472	11704928
118	13040672	12717536	12400896	12090496
119	13466560	13132928	12805984	12485504
120	13902848	13558400	13220928	12890080
121	14349568	13994144	13645824	13304448
122	14807040	14440288	14080960	13728704
123	15275296	14897024	14526368	14163008
124	15754624	15364512	14982272	14607552
125	16245120	15842944	15448800	15062496
126	16746976	16332384	15926176	15527936
127	17260352	16833152	16414496	16004128
128	17785472	17345280	16913984	16491136
129	18322496	17869056	17424768	16989248
130	18871520	18404608	17947008	17498496
131	19432864	18952064	18480960	18019104
132	20006592	19511648	19026688	18551264
133	20592960	20083584	19584384	19095136
134	21192064	20667968	20154368	19650816
135	21804160	21264960	20736576	20218624
136	22429504	21874880	21331392	20798592
137	23068160	22497728	21938816	21390976
138	23720256	23133888	22559232	21995904
139	24386240	23783360	23192640	22613568
140	25065984	24446464	23839296	23244096
141	25760000	25123264	24499392	23887808
142	26468160	25814080	25173120	24544768
143	27190976	26519104	25860608	25215168
144	27928448	27238336	26562112	25899264
145	28680704	27972160	27277760	26597056
146	29448192	28720704	28007808	27308992
147	30230976	29484160	28752448	28035008
148	31029184	30262784	29511680	28775488
149	31843200	31056704	30286016	29530496
150	32672960	31866112	31075392	30300288
151	33518976	32691264	31880064	31084992
152	34381184	33532352	32700416	31884928
153	35260032	34389504	33536384	32700096
154	36155648	35262976	34388224	33530816
155	37068160	36153216	35256320	34377216
156	37997696	37059840	36140672	35239808
157	38944896	37983616	37041664	36118144
158	39909376	38924416	37959168	37013120
159	40891904	39882752	38893952	37924352
160	41892352	40858624	39845504	38852480
161	42910976	41852288	40814720	39797504
162	43948288	42863872	41801216	40759680
163	45004032	43893888	42805760	41739136
164	46078848	44942208	43828224	42736256
165	47172864	46009088	44868864	43750912
166	48285952	47095040	45927808	44783744
167	49418880	48200064	47005696	45834752
168	50571648	49324416	48102016	46903936
169	51744256	50468224	49217792	47991936
170	52937216	51632000	50352640	49098624
171	54150784	52815616	51507072	50224384
172	55384960	54019456	52681344	51369344
173	56640256	55243904	53875328	52533888
174	57916672	56488832	55089664	53718016
175	59214720	57754880	56324352	54922112
176	60534016	59042176	57579776	56146176
177	61875712	60350464	58856064	57390848
178	63239168	61680896	60153088	58655872
179	64625408	63032576	61472000	59941888
180	66034176	64407040	62812160	61248768
181	67465984	65803264	64174080	62576896
182	68920576	67222528	65558016	63926784
183	70398976	68664320	66964480	65297920
184	71900672	70129408	68393216	66691584
185	73426432	71617536	69844736	68106752
186	74976512	73129472	71319296	69544960
187	76550656	74664960	72817152	71005184
188	78149888	76224768	74338048	72488960
189	79773696	77808896	75883264	73995520
190	81422592	79417344	77452032	75525376
191	83097344	81050880	79044864	77078784
192	84797440	82708992	80662784	78656256
193	86523648	84392960	82304768	80257792
194	88275968	86102528	83971840	81883648
195	90054912	87837440	85664256	83534080
196	91860480	89598720	87382016	85209088
197	93692928	91386368	89125632	86909440
198	95553024	93200640	90895104	88634880
199	97440512	95041792	92690944	90386176
200	99355904	96909824	94512896	92163328
201	101298944	98805760	96361728	93966080
202	103270912	100728832	98237696	95795456
203	105271296	102680576	100140800	97651456
204	107300864	104659456	102071552	99534336
205	109359104	106668032	104029696	101444096
206	111447040	108704256	106016768	103381504
207	113564672	110770176	108030976	105346048
208	115713024	112865280	110074880	107339264
209	117890560	114990080	112146432	109359616
210	120099328	117144064	114248192	111409152
211	122339328	119329280	116379136	113486848
212	124609536	121544192	118539264	115593728
213	126912512	123789824	120729600	117729792
214	129245696	126066176	122950144	119895552
215	131612160	128374272	125201408	122090496
216	134010368	130714112	127482880	124315648
217	136441344	133085184	129796096	126571520
218	138905600	135489024	132140032	128857088
219	141402624	137924608	134515712	131174400
220	143932928	140392960	136923648	133522432
221	146497536	142894592	139363328	135901696
222	149096448	145429504	141835776	138312704
223	151729152	147997696	144340480	140755968
224	154396672	150600192	146878976	143230976
225	157099520	153236480	149450240	145738752
226	159837696	155907584	152055296	148279296
227	162611712	158612992	154694144	150852608
228	165421056	161353728	157367808	153459712
229	168266752	164130304	160074752	156100096
230	171149312	166941696	162817536	158774784
231	174068736	169788928	165595136	161483264
232	177025536	172673536	168408064	164226560
233	180019200	175593984	171256320	167004672
234	183051264	178551296	174140928	169817600
235	186121216	181545984	177062400	172666368
236	189229056	184578048	180019200	175549952
237	192376832	187648000	183013376	178470400
238	195562496	190756864	186045440	181427200
239	198789120	193902592	189114368	184420352
240	202053632	197088256	192220160	187449344
241	205360128	200312832	195366912	190517248
242	208705536	203576320	198549504	193620992
243	212091904	206879744	201771008	196763648
244	215519232	210224128	205032448	199944192
245	218988544	213607424	208333824	203163648
246	222499840	217032704	211673088	206420992
247	226052096	220497920	215054336	209716224
248	229647360	224004096	218474496	213053440
249	233285632	227554304	221935616	216428544
250	236965888	231144448	225437696	219843584
251	240691200	234776576	228981760	223300608
252	244458496	238452736	232566784	226795520
253	248270848	242171904	236192768	230333440
254	252127232	245933056	239862784	233911296
255	256028672	249739264	243574784	237532160
256	259974144	253589504	247329792	241192960
257	263966720	257481728	251126784	244897792
258	268004352	261422080	254968832	248643584
259	272088064	265404416	258854912	252433408
260	276217856	269433856	262784000	256265216
261	280395776	273508352	266759168	260142080
262	284619776	277629952	270777344	264060928
263	288890880	281795584	274841600	268024832
264	293211136	286010368	278952960	272033792
265	297579520	290271232	283108352	276086784
266	301995008	294580224	287309824	280184832
267	306461696	298935296	291559424	284327936
268	310976512	303339520	295855104	288518144
269	315539456	307792896	300197888	292753408
270	320155648	312294400	304588800	297034752
271	324820992	316844032	309027840	301364224
272	329537536	321445888	313513984	305740800
273	334303232	326094848	318050304	310163456
274	339122176	330797056	322635776	314634240
275	343992320	335546368	327268352	319154176
276	348915712	340350976	331954176	323723264
277	353890304	345202688	336687104	328339456
278	358920192	350107648	341471232	333004800
279	364001280	355065856	346306560	337721344
280	369137664	360075264	351193088	342484992
281	374325248	365137920	356130816	347303936
282	379572224	370253824	361121792	352167936
283	384870400	375422976	366163968	357085184
284	390223872	380645376	371257344	362053632
285	395634688	385925120	376406016	367075328
286	401102848	391256064	381605888	372146176
287	406622208	396642304	386861056	377272320
288	412205056	402087936	392169472	382449664
289	417839104	407584768	397533184	387680256
290	423534592	413138944	402952192	392962048
291	429287424	418752512	408424448	398303232
292	435097600	424419328	413954048	403693568
293	440967168	430145536	419538944	409139200
294	446896128	435929088	425179136	414642176
295	452884480	441769984	430876672	420198400
296	458932224	447670272	436631552	425811968
297	465041408	453629952	442445824	431478784
298	471209984	459649024	448313344	437204992
299	477442048	465725440	454244352	442986496
300	483733504	471865344	460228608	448825344
301	490086400	478062592	466276352	454721536
302	496504832	484321280	472381440	460675072
303	502982656	490643456	478545920	466688000
304	509528064	497025024	484771840	472760320
305	516132864	503470080	491057152	478889984
306	522805248	509976576	497405952	485079040
307	529539072	516548608	503810048	491329536
308	536342528	523184128	510279680	497639424
309	543205376	529879040	516810752	504006656
310	550137856	536641536	523405312	510439424
311	557137920	543467520	530061312	516929536
312	564195328	550359040	536780800	523483136
313	571334656	557314048	543563776	530100224
314	578527232	564338688	550412288	536774656
315	585797632	571424768	557322240	543518720
316	593129472	578580480	564301824	550322176
317	600530944	585801728	571342848	557191168
318	608006144	593092608	578449408	564121600
319	615546880	600449024	585625600	571117568
320	623153152	607870976	592863232	578183168
321	630837248	615362560	600174592	585306112
322	638590976	622927872	607551488	592498688
323	646410240	630558720	614989824	599760896
324	654307328	638263296	622505984	607084544
325	662278144	646029312	630083584	614477824
326	670310400	653877248	637734912	621940736
327	678428672	661786624	645451776	629465088
328	686612480	669773824	653238272	637063168
329	694870016	677834752	661098496	644722688
330	703209472	685961216	669028352	652460032
331	711614464	694165504	677027840	660262912
332	720097280	702439424	685101056	668135424
333	728662016	710791168	693243904	676073472
334	737292288	719216640	701460480	684089344
335	746008576	727715840	709750784	692174848
336	754794496	736288768	718114816	700329984
337	763662336	744935424	726544384	708558848
338	772608000	753664000	735059968	716857344
339	781631488	762466304	743645184	725229568
340	790728704	771346432	752300032	733675520
341	799916032	780300288	761040896	742191104
342	809172992	789331968	769847296	750788608
343	818511872	798449664	778735616	759455744
344	827936768	807636992	787701760	768196608
345	837439488	816906240	796741632	777015296
346	847024128	826257408	805859328	785907712
347	856686592	835686400	815058944	794877952
348	866439168	845197312	824332288	803921920
349	876269568	854790144	833687552	813047808
350	886181888	864460800	843116544	822247424
351	896184320	874213376	852635648	831524864
352	906264576	884051968	862228480	840880128
353	916434944	893968384	871899136	850317312
354	926687232	903970816	881659904	859832320
355	937029632	914059264	891494400	869425152
356	947449856	924229632	901410816	879099904
357	957972480	934486016	911417344	888852480
358	968564736	944820224	921501696	898691072
359	979247104	955252736	931667968	908607488
360	990027776	965763072	941924352	918605824
361	1000890368	976363520	952254464	928686080
362	1011851264	987045888	962682880	938852352
363	1022885888	997818368	973185024	949092352
364	1034018816	1008672768	983777280	959430656
365	1045250048	1019633664	994459648	969842688
366	1056555008	1030660096	1005223936	980344832
367	1067966464	1041793024	1016078336	990928896
368	1079468032	1053016064	1027014656	1001594880
369	1091059712	1064312832	1038041088	1012350976
370	1102741504	1075716096	1049165824	1023197184
371	1114513408	1087209472	1060364288	1034125312
372	1126391808	1098784768	1071661056	1045143552
373	1138360320	1110466560	1083056128	1056243712
374	1150418944	1122222080	1094524928	1067433984
375	1162575872	1134092288	1106092032	1078722560
376	1174831104	1146036224	1117749248	1090084864
377	1187176448	1158094848	1129496576	1101553664
378	1199628288	1170227200	1141350400	1113096192
379	1212170240	1182474240	1153277952	1124745216
380	1224818688	1194803200	1165303808	1136467968
381	1237557248	1207230464	1177436160	1148297216
382	1250394112	1219756032	1189650432	1160208384
383	1263337472	1232379904	1201954816	1172217856
384	1276379136	1245110272	1214373888	1184317440
385	1289519104	1257922560	1226866688	1196515328
386	1302757376	1270841344	1239474176	1208803328
387	1316110336	1283858432	1252163584	1221181440
388	1329545216	1296973824	1264959488	1233657856
389	1343102976	1310195712	1277853696	1246240768
390	1356750848	1323515904	1290846208	1258897408
391	1370513408	1336934400	1303928832	1271668736
392	1384366080	1350451200	1317117952	1284530176
393	1398341632	1364074496	1330405376	1297489920
394	1412407296	1377804288	1343791104	1310539776
395	1426579456	1391640576	1357283328	1323704320
396	1440866304	1405566976	1370865664	1336958976
397	1455259648	1419608064	1384570880	1350303744
398	1469751296	1433747456	1398349824	1363763200
399	1484365824	1447993344	1412259840	1377312768
400	1499070464	1462353920	1426251776	1390968832
401	1499070464	1462353920	1426251776	1390968832
402	1499070464	1462353920	1426251776	1390968832
403	1499070464	1462353920	1426251776	1390968832
404	1499070464	1462353920	1426251776	1390968832
405	1499070464	1462353920	1426251776	1390968832
406	1499070464	1462353920	1426251776	1390968832
407	1499070464	1462353920	1426251776	1390968832
408	1499070464	1462353920	1426251776	1390968832
409	1499070464	1462353920	1426251776	1390968832
410	1499070464	1462353920	1426251776	1390968832
411	1499070464	1462353920	1426251776	1390968832
412	1499070464	1462353920	1426251776	1390968832
413	1499070464	1462353920	1426251776	1390968832
414	1499070464	1462353920	1426251776	1390968832
415	1499070464	1462353920	1426251776	1390968832
416	1499070464	1462353920	1426251776	1390968832
417	1499070464	1462353920	1426251776	1390968832
418	1499070464	1462353920	1426251776	1390968832
419	1499070464	1462353920	1426251776	1390968832
420	1499070464	1462353920	1426251776	1390968832
421	1499070464	1462353920	1426251776	1390968832
422	1499070464	1462353920	1426251776	1390968832
423	1499070464	1462353920	1426251776	1390968832
424	1499070464	1462353920	1426251776	1390968832
425	1499070464	1462353920	1426251776	1390968832
426	1499070464	1462353920	1426251776	1390968832
427	1499070464	1462353920	1426251776	1390968832
428	1499070464	1462353920	1426251776	1390968832
429	1499070464	1462353920	1426251776	1390968832
430	1499070464	1462353920	1426251776	1390968832
431	1499070464	1462353920	1426251776	1390968832
432	1499070464	1462353920	1426251776	1390968832
433	1499070464	1462353920	1426251776	1390968832
434	1499070464	1462353920	1426251776	1390968832
435	1499070464	1462353920	1426251776	1390968832
436	1499070464	1462353920	1426251776	1390968832
437	1499070464	1462353920	1426251776	1390968832
438	1499070464	1462353920	1426251776	1390968832
439	1499070464	1462353920	1426251776	1390968832
440	1499070464	1462353920	1426251776	1390968832
441	1499070464	1462353920	1426251776	1390968832
442	1499070464	1462353920	1426251776	1390968832
443	1499070464	1462353920	1426251776	1390968832
444	1499070464	1462353920	1426251776	1390968832
445	1499070464	1462353920	1426251776	1390968832
446	1499070464	1462353920	1426251776	1390968832
447	1499070464	1462353920	1426251776	1390968832
448	1499070464	1462353920	1426251776	1390968832
449	1499070464	1462353920	1426251776	1390968832
450	1499070464	1462353920	1426251776	1390968832
451	1499070464	1462353920	1426251776	1390968832
452	1499070464	1462353920	1426251776	1390968832
453	1499070464	1462353920	1426251776	1390968832
454	1499070464	1462353920	1426251776	1390968832
455	1499070464	1462353920	1426251776	1390968832
456	1499070464	1462353920	1426251776	1390968832
457	1499070464	1462353920	1426251776	1390968832
458	1499070464	1462353920	1426251776	1390968832
459	1499070464	1462353920	1426251776	1390968832
460	1499070464	1462353920	1426251776	1390968832
461	1499070464	1462353920	1426251776	1390968832
462	1499070464	1462353920	1426251776	1390968832
463	1499070464	1462353920	1426251776	1390968832
464	1499070464	1462353920	1426251776	1390968832
465	1499070464	1462353920	1426251776	1390968832
466	1499070464	1462353920	1426251776	1390968832
467	1499070464	1462353920	1426251776	1390968832
468	1499070464	1462353920	1426251776	1390968832
469	1499070464	1462353920	1426251776	1390968832
470	1499070464	1462353920	1426251776	1390968832
471	1499070464	1462353920	1426251776	1390968832
472	1499070464	1462353920	1426251776	1390968832
473	1499070464	1462353920	1426251776	1390968832
474	1499070464	1462353920	1426251776	1390968832
475	1499070464	1462353920	1426251776	1390968832
476	1499070464	1462353920	1426251776	1390968832
477	1499070464	1462353920	1426251776	1390968832
478	1499070464	1462353920	1426251776	1390968832
479	1499070464	1462353920	1426251776	1390968832
480	1499070464	1462353920	1426251776	1390968832
481	1499070464	1462353920	1426251776	1390968832
482	1499070464	1462353920	1426251776	1390968832
483	1499070464	1462353920	1426251776	1390968832
484	1499070464	1462353920	1426251776	1390968832
485	1499070464	1462353920	1426251776	1390968832
486	1499070464	1462353920	1426251776	1390968832
487	1499070464	1462353920	1426251776	1390968832
488	1499070464	1462353920	1426251776	1390968832
489	1499070464	1462353920	1426251776	1390968832
490	1499070464	1462353920	1426251776	1390968832
491	1499070464	1462353920	1426251776	1390968832
492	1499070464	1462353920	1426251776	1390968832
493	1499070464	1462353920	1426251776	1390968832
494	1499070464	1462353920	1426251776	1390968832
495	1499070464	1462353920	1426251776	1390968832
496	1499070464	1462353920	1426251776	1390968832
497	1499070464	1462353920	1426251776	1390968832
498	1499070464	1462353920	1426251776	1390968832
499	1499070464	1462353920	1426251776	1390968832
500	1499070464	1462353920	1426251776	1390968832
501	1499070464	1462353920	1426251776	1390968832
502	1499070464	1462353920	1426251776	1390968832
503	1499070464	1462353920	1426251776	1390968832
504	1499070464	1462353920	1426251776	1390968832
505	1499070464	1462353920	1426251776	1390968832
506	1499070464	1462353920	1426251776	1390968832
507	1499070464	1462353920	1426251776	1390968832
508	1499070464	1462353920	1426251776	1390968832
509	1499070464	1462353920	1426251776	1390968832
510	1499070464	1462353920	1426251776	1390968832
511	1499070464	1462353920	1426251776	1390968832
512	1499070464	1462353920	1426251776	1390968832
513	1499070464	1462353920	1426251776	1390968832
514	1499070464	1462353920	1426251776	1390968832
515	1499070464	1462353920	1426251776	1390968832
516	1499070464	1462353920	1426251776	1390968832
517	1499070464	1462353920	1426251776	1390968832
518	1499070464	1462353920	1426251776	1390968832
519	1499070464	1462353920	1426251776	1390968832
520	1499070464	1462353920	1426251776	1390968832
521	1499070464	1462353920	1426251776	1390968832
522	1499070464	1462353920	1426251776	1390968832
523	1499070464	1462353920	1426251776	1390968832
524	1499070464	1462353920	1426251776	1390968832
525	1499070464	1462353920	1426251776	1390968832
526	1499070464	1462353920	1426251776	1390968832
527	1499070464	1462353920	1426251776	1390968832
528	1499070464	1462353920	1426251776	1390968832
529	1499070464	1462353920	1426251776	1390968832
530	1499070464	1462353920	1426251776	1390968832
531	1499070464	1462353920	1426251776	1390968832
532	1499070464	1462353920	1426251776	1390968832
533	1499070464	1462353920	1426251776	1390968832
534	1499070464	1462353920	1426251776	1390968832
535	1499070464	1462353920	1426251776	1390968832
536	1499070464	1462353920	1426251776	1390968832
537	1499070464	1462353920	1426251776	1390968832
538	1499070464	1462353920	1426251776	1390968832
539	1499070464	1462353920	1426251776	1390968832
540	1499070464	1462353920	1426251776	1390968832
541	1499070464	1462353920	1426251776	1390968832
542	1499070464	1462353920	1426251776	1390968832
543	1499070464	1462353920	1426251776	1390968832
544	1499070464	1462353920	1426251776	1390968832
545	1499070464	1462353920	1426251776	1390968832
546	1499070464	1462353920	1426251776	1390968832
547	1499070464	1462353920	1426251776	1390968832
548	1499070464	1462353920	1426251776	1390968832
549	1499070464	1462353920	1426251776	1390968832
550	1499070464	1462353920	1426251776	1390968832
551	1499070464	1462353920	1426251776	1390968832
552	1499070464	1462353920	1426251776	1390968832
553	1499070464	1462353920	1426251776	1390968832
554	1499070464	1462353920	1426251776	1390968832
555	1499070464	1462353920	1426251776	1390968832
556	1499070464	1462353920	1426251776	1390968832
557	1499070464	1462353920	1426251776	1390968832
558	1499070464	1462353920	1426251776	1390968832
559	1499070464	1462353920	1426251776	1390968832
560	1499070464	1462353920	1426251776	1390968832
561	1499070464	1462353920	1426251776	1390968832
562	1499070464	1462353920	1426251776	1390968832
563	1499070464	1462353920	1426251776	1390968832
564	1499070464	1462353920	1426251776	1390968832
565	1499070464	1462353920	1426251776	1390968832
566	1499070464	1462353920	1426251776	1390968832
567	1499070464	1462353920	1426251776	1390968832
568	1499070464	1462353920	1426251776	1390968832
569	1499070464	1462353920	1426251776	1390968832
570	1499070464	1462353920	1426251776	1390968832
571	1499070464	1462353920	1426251776	1390968832
572	1499070464	1462353920	1426251776	1390968832
573	1499070464	1462353920	1426251776	1390968832
574	1499070464	1462353920	1426251776	1390968832
575	1499070464	1462353920	1426251776	1390968832
576	1499070464	1462353920	1426251776	1390968832
577	1499070464	1462353920	1426251776	1390968832
578	1499070464	1462353920	1426251776	1390968832
579	1499070464	1462353920	1426251776	1390968832
580	1499070464	1462353920	1426251776	1390968832
581	1499070464	1462353920	1426251776	1390968832
582	1499070464	1462353920	1426251776	1390968832
583	1499070464	1462353920	1426251776	1390968832
584	1499070464	1462353920	1426251776	1390968832
585	1499070464	1462353920	1426251776	1390968832
586	1499070464	1462353920	1426251776	1390968832
587	1499070464	1462353920	1426251776	1390968832
588	1499070464	1462353920	1426251776	1390968832
589	1499070464	1462353920	1426251776	1390968832
590	1499070464	1462353920	1426251776	1390968832
591	1499070464	1462353920	1426251776	1390968832
592	1499070464	1462353920	1426251776	1390968832
593	1499070464	1462353920	1426251776	1390968832
594	1499070464	1462353920	1426251776	1390968832
595	1499070464	1462353920	1426251776	1390968832
596	1499070464	1462353920	1426251776	1390968832
597	1499070464	1462353920	1426251776	1390968832
598	1499070464	1462353920	1426251776	1390968832
599	1499070464	1462353920	1426251776	1390968832
600	1499070464	1462353920	1426251776	1390968832
601	1499070464	1462353920	1426251776	1390968832
602	1499070464	1462353920	1426251776	1390968832
603	1499070464	1462353920	1426251776	1390968832
604	1499070464	1462353920	1426251776	1390968832
605	1499070464	1462353920	1426251776	1390968832
606	1499070464	1462353920	1426251776	1390968832
607	1499070464	1462353920	1426251776	1390968832
608	1499070464	1462353920	1426251776	1390968832
609	1499070464	1462353920	1426251776	1390968832
610	1499070464	1462353920	1426251776	1390968832
611	1499070464	1462353920	1426251776	1390968832
612	1499070464	1462353920	1426251776	1390968832
613	1499070464	1462353920	1426251776	1390968832
614	1499070464	1462353920	1426251776	1390968832
615	1499070464	1462353920	1426251776	1390968832
616	1499070464	1462353920	1426251776	1390968832
617	1499070464	1462353920	1426251776	1390968832
618	1499070464	1462353920	1426251776	1390968832
619	1499070464	1462353920	1426251776	1390968832
620	1499070464	1462353920	1426251776	1390968832
621	1499070464	1462353920	1426251776	1390968832
622	1499070464	1462353920	1426251776	1390968832
623	1499070464	1462353920	1426251776	1390968832
624	1499070464	1462353920	1426251776	1390968832
625	1499070464	1462353920	1426251776	1390968832
626	1499070464	1462353920	1426251776	1390968832
627	1499070464	1462353920	1426251776	1390968832
628	1499070464	1462353920	1426251776	1390968832
629	1499070464	1462353920	1426251776	1390968832
630	1499070464	1462353920	1426251776	1390968832
631	1499070464	1462353920	1426251776	1390968832
632	1499070464	1462353920	1426251776	1390968832
633	1499070464	1462353920	1426251776	1390968832
634	1499070464	1462353920	1426251776	1390968832
635	1499070464	1462353920	1426251776	1390968832
636	1499070464	1462353920	1426251776	1390968832
637	1499070464	1462353920	1426251776	1390968832
638	1499070464	1462353920	1426251776	1390968832
639	1499070464	1462353920	1426251776	1390968832
640	1499070464	1462353920	1426251776	1390968832
641	1499070464	1462353920	1426251776	1390968832
642	1499070464	1462353920	1426251776	1390968832
643	1499070464	1462353920	1426251776	1390968832
644	1499070464	1462353920	1426251776	1390968832
645	1499070464	1462353920	1426251776	1390968832
646	1499070464	1462353920	1426251776	1390968832
647	1499070464	1462353920	1426251776	1390968832
648	1499070464	1462353920	1426251776	1390968832
649	1499070464	1462353920	1426251776	1390968832
650	1499070464	1462353920	1426251776	1390968832
651	1499070464	1462353920	1426251776	1390968832
652	1499070464	1462353920	1426251776	1390968832
653	1499070464	1462353920	1426251776	1390968832
654	1499070464	1462353920	1426251776	1390968832
655	1499070464	1462353920	1426251776	1390968832
656	1499070464	1462353920	1426251776	1390968832
657	1499070464	1462353920	1426251776	1390968832
658	1499070464	1462353920	1426251776	1390968832
659	1499070464	1462353920	1426251776	1390968832
660	1499070464	1462353920	1426251776	1390968832
661	1499070464	1462353920	1426251776	1390968832
662	1499070464	1462353920	1426251776	1390968832
663	1499070464	1462353920	1426251776	1390968832
664	1499070464	1462353920	1426251776	1390968832
665	1499070464	1462353920	1426251776	1390968832
666	1499070464	1462353920	1426251776	1390968832
667	1499070464	1462353920	1426251776	1390968832
668	1499070464	1462353920	1426251776	1390968832
669	1499070464	1462353920	1426251776	1390968832
670	1499070464	1462353920	1426251776	1390968832
671	1499070464	1462353920	1426251776	1390968832
672	1499070464	1462353920	1426251776	1390968832
673	1499070464	1462353920	1426251776	1390968832
674	1499070464	1462353920	1426251776	1390968832
675	1499070464	1462353920	1426251776	1390968832
676	1499070464	1462353920	1426251776	1390968832
677	1499070464	1462353920	1426251776	1390968832
678	1499070464	1462353920	1426251776	1390968832
679	1499070464	1462353920	1426251776	1390968832
680	1499070464	1462353920	1426251776	1390968832
681	1499070464	1462353920	1426251776	1390968832
682	1499070464	1462353920	1426251776	1390968832
683	1499070464	1462353920	1426251776	1390968832
684	1499070464	1462353920	1426251776	1390968832
685	1499070464	1462353920	1426251776	1390968832
686	1499070464	1462353920	1426251776	1390968832
687	1499070464	1462353920	1426251776	1390968832
688	1499070464	1462353920	1426251776	1390968832
689	1499070464	1462353920	1426251776	1390968832
690	1499070464	1462353920	1426251776	1390968832
691	1499070464	1462353920	1426251776	1390968832
692	1499070464	1462353920	1426251776	1390968832
693	1499070464	1462353920	1426251776	1390968832
694	1499070464	1462353920	1426251776	1390968832
695	1499070464	1462353920	1426251776	1390968832
696	1499070464	1462353920	1426251776	1390968832
697	1499070464	1462353920	1426251776	1390968832
698	1499070464	1462353920	1426251776	1390968832
699	1499070464	1462353920	1426251776	1390968832
700	1499070464	1462353920	1426251776	1390968832
701	1499070464	1462353920	1426251776	1390968832
702	1499070464	1462353920	1426251776	1390968832
703	1499070464	1462353920	1426251776	1390968832
704	1499070464	1462353920	1426251776	1390968832
705	1499070464	1462353920	1426251776	1390968832
706	1499070464	1462353920	1426251776	1390968832
707	1499070464	1462353920	1426251776	1390968832
708	1499070464	1462353920	1426251776	1390968832
709	1499070464	1462353920	1426251776	1390968832
