; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
100001001	라이트닝에로우	라이트닝에로우	10112	0	6	0	0	0	0	0	0	0	0	15	26	0	0	0	0	8	0	12	0	2	13	0	0	0	라이트닝에로우	0	0	0	100
100001002	라이트닝	라이트닝	10113	0	6	0	0	0	0	0	0	5	0	63	78	0	0	0	0	12	0	13	0	2	14	0	0	0	라이트닝	0	0	0	100
100001003	콜라이트닝	콜라이트닝	10114	0	6	0	0	0	0	0	0	10	0	86	101	0	0	0	0	17	0	13	0	2	15	0	0	0	콜라이트닝	0	0	0	100
100001004	마이이너힐링	마이이너힐링	10115	0	7	0	0	0	0	0	0	15	0	113	128	0	0	0	0	21	1	3	0	2	16	0	0	0	마이이너힐링	0	0	0	0
100001005	라이트닝피어스	라이트닝피어스	10116	0	6	0	0	0	0	0	0	20	0	135	150	0	0	0	0	25	0	8	0	2	17	0	0	0	라이트닝피어스	0	0	0	100
100001006	윈드소드	윈드소드	10117	0	6	0	0	0	0	0	0	30	0	194	209	0	0	0	0	34	0	9	0	2	18	0	0	0	윈드소드	0	0	0	100
100001007	윈드캐논	윈드캐논	10118	0	6	0	0	0	0	0	0	35	0	225	240	0	0	0	0	38	0	14	0	2	19	0	0	0	윈드캐논	0	0	0	100
100001008	클라우드실드	클라우드실드	10119	0	7	3	0	0	0	0	0	40	0	126	141	2	2	30	0	42	2	10	1800000	2	20	0	0	0	클라우드실드	0	0	0	0
100001009	윈드스트라이크	윈드스트라이크	10120	0	6	0	0	0	0	0	0	45	0	297	312	0	0	0	0	47	0	10	0	2	21	0	0	0	윈드스트라이크	0	0	0	100
100001010	큐어라이트	큐어라이트	10389	0	7	0	0	0	0	0	0	55	0	194	209	0	0	0	0	51	2	7	0	2	22	0	0	0	큐어라이트	0	0	0	0
100001011	어스스워드	어스스워드	10390	0	6	0	0	0	0	0	0	60	0	419	434	0	0	0	0	61	0	10	0	2	23	0	0	0	어스스워드	0	0	0	100
100001012	글래십	글래십	10391	0	6	0	0	1	0	0	0	65	0	464	479	0	0	0	0	80	0	3	0	8	24	4	0	0	글래십	0	0	0	100
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100002001	에너지드레인	에너지드레인	10121	4	8	0	0	0	15	0	10	0	0	110	113	0	0	0	0	33	0	3	0	16	25	0	0	0	에너지드레인	0	0	0	0
100002002	크리티컬	크리티컬	10122	4	8	0	0	0	0	25	0	0	0	110	113	1	1	20	0	33	0	17	0	8	26	0	0	0	크리티컬	0	100	0	0
100002003	파이어에로우	파이어에로우	10123	4	8	0	0	0	0	15	10	0	0	110	113	1	1	10	0	30	0	10	0	8	27	0	0	0	파이어에로우	0	60	40	0
100002004	해븐리에로우	해븐리에로우	10124	4	8	0	0	0	0	15	0	10	0	110	113	1	1	10	0	87	0	13	0	8	28	0	0	0	해븐리에로우	0	60	0	40
100002005	포이즌웨폰	포이즌웨폰	10125	4	8	4	0	0	10	0	15	0	0	110	113	0	0	0	0	30	0	3	180000	8	29	0	0	0	포이즌웨폰	0	0	0	0
100002006	포이즌에로우	포이즌에로우	10126	4	8	5	0	0	0	10	15	0	0	110	113	1	1	10	0	30	0	10	5000	8	30	0	0	0	포이즌에로우	0	40	60	0
100002007	해븐리스태프	해븐리스태프	10127	4	9	6	0	0	10	0	0	15	0	110	113	2	1	20	0	28	1	3	1800000	8	31	0	0	0	해븐리스태프	0	0	40	60
100002008	해븐리해머	해븐리해머	10128	4	9	0	0	0	0	0	0	25	0	110	113	0	0	0	0	28	2	3	0	8	32	0	0	0	해븐리해머	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100003001	워크라이	워크라이	10129	4	9	7	31	0	25	0	0	0	0	1100	1130	1	1	5	21	30	1	3	1800000	2	33	5	0	0	워크라이	60	20	10	10
100003002	버로우	버로우	10130	4	9	8	5	0	10	15	0	0	0	0	0	1	1	50	21	35	1	3	1800000	30	34	5	0	0	버로우	40	60	0	0
100003003	블레싱실드	블레싱실드	10131	4	9	9	2	0	15	0	0	10	0	0	0	2	1	10	21	30	1	3	1800000	2	35	5	0	0	블레싱실드	0	0	0	0
100003004	스텔스	스텔스	10132	4	9	10	5	0	15	10	0	0	0	0	0	1	1	20	21	38	1	3	1800000	30	36	5	0	0	스텔스	60	40	0	0
100003005	더스트스킨	더스트스킨	10133	4	9	11	33	0	0	0	25	0	0	0	0	0	0	0	21	38	0	7	1800000	10	37	5	0	0	더스트스킨	0	0	0	0
100003006	리제너레이션	리제너레이션	10134	4	9	12	7	0	0	0	15	10	0	0	0	0	0	0	21	40	1	3	1800000	10	38	5	0	0	리제너레이션	0	0	0	0
100003007	센스티브	센스티브	10135	4	9	0	15	0	0	10	0	15	0	0	0	0	0	0	21	25	1	3	0	2	39	12	0	0	센스티브	0	0	0	0
100003008	리쥬버네이션	리쥬버네이션	10136	4	9	13	34	0	0	0	10	15	0	0	0	0	0	0	21	40	1	3	1800000	2	40	5	0	0	리쥬버네이션	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100004001	파티초대	파티초대	10137	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티초대	0	0	0	0
100004002	파티탈퇴	파티탈퇴	10138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티탈퇴	0	0	0	0
100004003	파티추방	파티추방	10139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티추방	0	0	0	0
100004004	파티해체	파티해체	10140	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티해체	0	0	0	0
100004005	파티게시판	파티게시판	10141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티게시판	0	0	0	0
100004006	거래신청	거래신청	10142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	거래신청	0	0	0	0
100004007	아이템줍기	아이템줍기	10143	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	아이템줍기	0	0	0	0
100004008	퀘스트	퀘스트	10144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	퀘스트	0	0	0	0
100004009	친구등록	친구등록	10145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구등록	0	0	0	0
100004010	친구목록	친구목록	10146	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구목록	0	0	0	0
100004011	친구삭제	친구삭제	10147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구삭제	0	0	0	0
100004012	친구차단	친구차단	10148	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	친구차단	0	0	0	0
100004013	채팅차단	채팅차단	10149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	채팅차단	0	0	0	0
100004014	귓말차단	귓말차단	10150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	귓말차단	0	0	0	0
100004015	거래차단	거래차단	10151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	거래차단	0	0	0	0
100004016	파티차단	파티차단	10152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티차단	0	0	0	0
100004017	위치	위치	10153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	위치	0	0	0	0
100004018	개인상점개설	개인상점개설	10451	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	개인상점개설	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호				0	0
100005001	인사	인사	10154	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	인사	0	0	0	0
100005002	경례	경례	10155	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	경례	0	0	0	0
100005003	박수	박수	10156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	박수	0	0	0	0
100005004	죽어	죽어	10157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	죽어	0	0	0	0
100005005	춤	춤	10158	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	춤	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100006001	단원등용	단원등용	10159	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단원등용	0	0	0	0
100006002	단원제명	단원제명	10160	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단원제명	0	0	0	0
100006003	단탈퇴	단탈퇴	10161	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단탈퇴	0	0	0	0
100006004	진지구축	진지구축	10162	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	진지구축	0	0	0	0
100006005	단공지	단공지	10163	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단공지	0	0	0	0
100006006	단원 리스트	단원 리스트	10164	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단원 리스트	0	0	0	0
100006007	총단원리스트	총단원리스트	10165	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	총단원리스트	0	0	0	0
100006008	단장이임	단장이임	10166	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	단장이임	0	0	0	0
100006009	부단장승진	부단장승진	10167	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	부단장승진	0	0	0	0
100006010	부단장강등	부단장강등	10168	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	부단장강등	0	0	0	0
100006011	부단장이임	부단장이임	10169	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	부단장이임	0	0	0	0
100006012	자동정리	자동정리	10170	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	자동정리	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100007001	동맹신청	동맹신청	10171	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	동맹신청	0	0	0	0
100007002	동맹탈퇴	동맹탈퇴	10172	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	동맹탈퇴	0	0	0	0
100007003	동맹초대	동맹초대	10173	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	동맹초대	0	0	0	0
100007004	용병추방	용병추방	10174	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	용병추방	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100008001	울프클로	울프클로	10392	0	0	0	0	0	10	0	0	0	0	126	156	0	0	0	0	20	0	4	0	12	11	0	0	0	울프클로	100	0	0	0
100008002	스텝	스텝	10393	0	0	0	0	0	20	0	0	0	0	489	519	0	0	0	0	25	0	6	0	11	10	0	0	0	스텝	100	0	0	0
100008003	블레이드윈드	블레이드윈드	10394	0	0	0	0	0	30	0	0	0	0	540	555	0	0	0	0	35	0	6	0	10	9	0	0	0	블레이드윈드	100	0	0	0
100008004	베어클로	베어클로	12031	0	0	0	0	0	40	0	0	0	0	570	591	0	0	0	0	30	0	6	0	9	8	0	0	10392	베어클로	100	0	0	0
100008005	오거클로	오거클로	12032	0	0	0	0	0	60	0	0	0	0	300	327	0	0	0	0	40	0	6	0	8	7	0	0	12031	오거클로	100	0	0	0
100008006	와일드스텝	와일드스텝	12033	0	0	0	0	0	50	0	0	0	0	885	900	0	0	0	0	35	0	6	0	7	6	0	0	10393	와일드스텝	100	0	0	0
100008007	버스트스텝	버스트스텝	12034	0	0	0	0	2	70	0	0	0	0	1245	1269	0	0	0	0	45	0	15	0	4	3	11	0	12033	버스트스텝	100	0	0	0
100008008	블레이드브리즈	블레이드브리즈	12035	0	0	0	0	0	60	0	0	0	0	900	921	0	0	0	0	40	0	6	0	6	5	0	0	10394	블레이드브리즈	100	0	0	0
100008009	블레이드게일	블레이드게일	12036	0	0	0	0	2	80	0	0	0	0	1350	1374	0	0	0	0	50	0	6	0	2	1	8	0	12035	블레이드게일	100	0	0	0
100008010	본브레이크	본브레이크	12037	0	0	0	0	2	40	0	0	0	0	561	576	0	0	0	0	35	0	10	0	3	2	8	0	0	본브레이크	100	0	0	0
100008011	더블브레이크	더블브레이크	12038	0	0	0	0	0	70	0	0	0	0	1500	1530	0	0	0	0	45	0	6	0	5	3	0	0	12037	더블브레이크	100	0	0	0
100008012	브레이크레볼루션	브레이크레볼루션	12039	0	0	0	0	2	90	0	0	0	0	1770	1800	0	0	0	0	55	0	12	0	1	0	8	0	12038	브레이크레볼루션	100	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100009001	스피릿애로우	스피릿애로우	10395	0	2	0	0	0	0	10	0	0	0	176	177	0	0	0	0	20	0	11	0	5	44	0	0	0	스피릿애로우	0	100	0	0
100009002	파이어혼	파이어혼	10396	0	2	0	0	0	0	20	0	0	0	189	191	0	0	0	0	25	0	11	0	5	45	0	0	0	파이어혼	0	100	0	0
100009003	더블샷	더블샷	10397	0	2	0	0	0	0	30	0	0	0	195	198	0	0	0	0	35	0	11	0	5	46	0	0	0	더블샷	0	100	0	0
100009004	다크스피릿애로우	다크스피릿애로우	12040	0	2	0	0	0	0	40	0	0	0	210	213	0	0	0	0	30	0	11	0	6	56	0	0	10395	다크스피릿애로우	0	100	0	0
100009005	블러드스피릿애로우	블러드스피릿애로우	12041	0	2	0	0	0	0	60	0	0	0	254	258	0	0	0	0	40	0	11	0	7	57	0	0	12040	블러드스피릿애로우	0	100	0	0
100009006	아이스혼	아이스혼	12042	0	2	0	0	0	0	50	0	0	0	225	228	0	0	0	0	35	0	11	0	6	58	0	0	10396	아이스혼	0	100	0	0
100009007	라이트닝혼	라이트닝혼	12043	0	2	0	0	0	0	70	0	0	0	260	266	0	0	0	0	45	0	11	0	7	59	0	0	12042	라이트닝혼	0	100	0	0
100009008	트리플샷	트리플샷	12044	0	2	0	0	0	0	60	0	0	0	242	246	0	0	0	0	40	0	11	0	6	60	0	0	10397	트리플샷	0	100	0	0
100009009	더블더블샷	더블더블샷	12045	0	2	0	0	0	0	80	0	0	0	296	303	0	0	0	0	50	0	11	0	7	61	0	0	12044	더블더블샷	0	100	0	0
100009010	패너트레이션	패너트레이션	12046	0	2	0	0	2	0	40	0	0	0	275	281	0	0	0	0	55	0	11	0	8	43	3	0	0	패너트레이션	0	100	0	0
100009011	파워패너트레이션	파워패너트레이션	12047	0	2	0	0	2	0	70	0	0	0	288	296	0	0	0	0	65	0	11	0	7	42	3	0	12046	파워패너트레이션	0	100	0	0
100009012	데쓰패너트레이션	데쓰패너트레이션	12048	0	2	0	0	2	0	90	0	0	0	303	311	0	0	0	0	75	0	11	0	6	41	3	0	12047	데쓰패너트레이션	0	100	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	91	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호					
100004019	NON_PK 모드	NON_PK 모드	10452	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NON_PK 모드	0	0	0	0
100004020	무작위 PK 모드	무작위 PK 모드	10453	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	무작위 PK 모드	0	0	0	0
100004021	길드 PK 모드	길드 PK 모드	10454	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	길드 PK 모드	0	0	0	0
100004022	파티 PK 모드	파티 PK 모드	10455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	파티 PK 모드	0	0	0	0
100004023	전쟁상황도	전쟁상황도	10456	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	전쟁상황도	0	0	0	0
100004024	세율조절	세율조절	10457	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	세율조절	0	0	0	0
; 기술	한글	영문	아이템	기술	기술	이펙트인덱스	중복	기술	요구	요구	요구	요구	습득 가능	최소	최대	이펙트	이펙트	이펙트	시전	시전	시전 대상	시전 거리	지속 시간	쿨타임	쿨타임인덱스	지역공격범위	추가	이전스킬	간단한 설명	근거리경험치(%)	원거리경험치(%)	흑마법경험치(%)	백마법경험치(%)
; 번호	이름	이름	번호	종류	형태		검색	속성	근거리	원거리	흑마법	백마법	직업	데미지	데미지	종류	적용값종류	적용값	소모 HP	소모 MP							기능 코드	번호		0	0	0	100
100010000	라이트닝애로우볼트	라이트닝애로우볼트	12049	0	6	0	0	0	0	0	0	30	0	195	204	1	2	0	0	34	0	12	0	2	65	0	0	10112	라이트닝애로우볼트	0	0	0	100
100010001	라이트닝애로우웨이브	라이트닝애로우웨이브	12050	0	6	0	0	0	0	0	0	50	0	327	344	0	0	0	0	49	0	12	0	3	66	0	0	12049	라이트닝애로우웨이브	0	0	0	100
100010002	라이트닝볼트	라이트닝볼트	12051	0	6	0	0	0	0	0	0	35	0	225	236	0	0	0	0	38	0	13	0	2	67	0	0	10113	라이트닝볼트	0	0	0	100
100010003	라이트닝웨이브	라이트닝웨이브	12052	0	6	0	0	0	0	0	0	55	0	366	384	0	0	0	0	51	0	13	0	3	68	0	0	12051	라이트닝웨이브	0	0	0	100
100010004	콜라이트닝볼트	콜라이트닝볼트	12053	0	6	0	0	2	0	0	0	40	0	258	272	0	0	0	0	42	0	13	0	2	59	4	0	10114	콜라이트닝볼트	0	0	0	100
100010005	콜라이트닝웨이브	콜라이트닝웨이브	12054	0	6	0	0	0	0	0	0	60	0	408	429	0	0	0	0	61	0	13	0	3	70	0	0	12053	콜라이트닝웨이브	0	0	0	100
100010006	체인라이트닝피어스	체인라이트닝피어스	12055	0	6	0	0	0	0	0	0	50	0	327	344	0	0	0	0	49	0	8	0	2	71	0	0	10116	체인라이트닝피어스	0	0	0	100
100010007	쇼크라이트닝피어스	쇼크라이트닝피어스	12056	0	6	0	0	1	0	0	0	70	0	495	519	0	0	0	0	81	0	8	0	5	72	11	0	12055	쇼크라이트닝피어스	0	0	0	100
100010008	일렉트릭	일렉트릭	12057	0	6	0	0	1	0	0	0	95	0	747	785	0	0	0	0	141	0	3	0	5	73	4	0	10391	일렉트릭	0	0	0	100
100010009	썬더볼트	썬더볼트	12058	0	6	0	0	2	0	0	0	115	0	978	1028	0	0	0	0	182	0	10	0	5	60	8	0	12057	썬더볼트	0	0	0	100
100010010	윈드실드	윈드실드	12059	0	6	0	0	0	0	0	0	60	0	408	429	0	0	0	0	61	0	9	0	2	75	0	0	10117	윈드실드	0	0	0	100
100010011	윈드애로우	윈드애로우	12060	0	6	0	0	0	0	0	0	80	0	569	597	0	0	0	0	111	0	9	0	3	76	0	0	12059	윈드애로우	0	0	0	100
