;	아이템번호	한글이름	영문	종류	레벨	최소공격	최대공격	최소마법	최대마법	슬롯갯수	확률	착용직업	공격 범위	내구력	내구력경험치	공격속도	아이템속성	아이템성향	아이템무게	필요힘	필요지혜	필요민첩	필요카리스마	수리가격	판매가격	구입가격	힘+	지혜+	민첩+	카리스마+	체력+	마나+	물리데미지+	마법데미지+	방어력+	마법저항+	근거리	원거리	흑마법	백마법	힘-	지혜-	민첩-	카리스마-	체력-	마나-	물리데미지	마법데미지	방어력	마법저항	근거리	원거리	흑마법	백마법	남자이미지	2	3	4	5	남자스킨	여자이미지	2	3	4	5	여자스킨		
22	0	링 대거	링 대거	1	1	4	6	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	17	165	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	0	0
23	1	+1 링 대거	+1 링 대거	1	1	6	8	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	18	180	360	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	2	0
24	2	+2 링 대거	+2 링 대거	1	1	9	11	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	20	198	396	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	4	0
25	3	+3 링 대거	+3 링 대거	1	1	14	16	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	22	219	438	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	8	0
26	4	+4 링 대거	+4 링 대거	1	1	17	19	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	25	243	486	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	11	0
27	5	+5 링 대거	+5 링 대거	1	1	21	23	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	27	270	540	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	14	0
28	6	+6 링 대거	+6 링 대거	1	1	28	30	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	30	297	594	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	20	0
29	7	+7 링 대거	+7 링 대거	1	1	34	36	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	33	327	654	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	25	0
30	8	+8 링 대거	+8 링 대거	1	1	42	44	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	36	360	720	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	32	0
31	9	+9 링 대거	+9 링 대거	1	1	52	54	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	40	396	792	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	40	0
32	10	+10 링 대거	+10 링 대거	1	1	63	65	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	44	438	876	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	49	0
33	11	+11 링 대거	+11 링 대거	1	1	75	77	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	49	483	966	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	59	0
34	12	+12 링 대거	+12 링 대거	1	1	89	91	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	54	534	1068	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	71	0
35	13	+13 링 대거	+13 링 대거	1	1	106	108	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	59	588	1176	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	85	0
36	14	+14 링 대거	+14 링 대거	1	1	122	124	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	65	648	1296	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	98	0
37	15	+15 링 대거	+15 링 대거	1	1	141	143	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	72	714	1428	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	114	0
38	16	+16 링 대거	+16 링 대거	1	1	161	163	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	79	786	1572	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	131	0
39	17	+17 링 대거	+17 링 대거	1	1	185	187	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	87	867	1734	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	151	0
40	18	+18 링 대거	+18 링 대거	1	1	212	214	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	96	954	1908	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	173	0
41	19	+19 링 대거	+19 링 대거	1	1	242	244	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	105	1050	2100	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	198	0
42	20	+20 링 대거	+20 링 대거	1	1	276	278	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	116	1155	2310	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	Ws_0036_1.mod	Ws_0036_2.mod	Ws_0036_3.mod	Ws_0036.tga	Ws_0036.tga	0	227	0
43	0	키드니대거	키드니대거	1	1	5	7	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	25	246	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	0	0
44	1	+1 키드니대거	+1 키드니대거	1	2	8	10	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	28	273	546	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	2	0
45	2	+2 키드니대거	+2 키드니대거	1	2	10	12	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	31	303	606	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	4	0
46	3	+3 키드니대거	+3 키드니대거	1	2	16	18	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	34	336	672	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	9	0
47	4	+4 키드니대거	+4 키드니대거	1	2	18	20	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	38	372	744	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	11	0
48	5	+5 키드니대거	+5 키드니대거	1	2	22	24	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	42	411	822	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	14	0
49	6	+6 키드니대거	+6 키드니대거	1	2	30	32	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	46	453	906	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	21	0
50	7	+7 키드니대거	+7 키드니대거	1	2	35	37	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	51	501	1002	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	25	0
51	8	+8 키드니대거	+8 키드니대거	1	2	45	47	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	56	552	1104	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	33	0
52	9	+9 키드니대거	+9 키드니대거	1	2	54	56	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	61	609	1218	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	41	0
53	10	+10 키드니대거	+10 키드니대거	1	2	66	68	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	68	672	1344	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	51	0
54	11	+11 키드니대거	+11 키드니대거	1	2	80	82	0	0	0	0	0	2	50	0	4	0	0	0	0	0	0	0	75	741	1482	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	Ws_0032_1.mod	Ws_0032_2.mod	Ws_0032_3.mod	Ws_0032.tga	Ws_0032.tga	0	62	0
