;레벨	힘 필요경험치	민첩 필요경험치	지혜 필요경험치
151	23887808	24499392	25123264
152	24544768	25173120	25814080
153	25215168	25860608	26519104
154	25899264	26562112	27238336
155	26597056	27277760	27972160
156	27308992	28007808	28720704
157	28035008	28752448	29484160
158	28775488	29511680	30262784
159	29530496	30286016	31056704
160	30300288	31075392	31866112
161	31084992	31880064	32691264
162	31884928	32700416	33532352
163	32700096	33536384	34389504
164	33530816	34388224	35262976
165	34377216	35256320	36153216
166	35239808	36140672	37059840
167	36118144	37041664	37983616
168	37013120	37959168	38924416
169	37924352	38893952	39882752
170	38852480	39845504	40858624
171	39797504	40814720	41852288
172	40759680	41801216	42863872
173	41739136	42805760	43893888
174	42736256	43828224	44942208
175	43750912	44868864	46009088
176	44783744	45927808	47095040
177	45834752	47005696	48200064
178	46903936	48102016	49324416
179	47991936	49217792	50468224
180	49098624	50352640	51632000
181	50224384	51507072	52815616
182	51369344	52681344	54019456
183	52533888	53875328	55243904
184	53718016	55089664	56488832
185	54922112	56324352	57754880
186	56146176	57579776	59042176
187	57390848	58856064	60350464
188	58655872	60153088	61680896
189	59941888	61472000	63032576
190	61248768	62812160	64407040
191	62576896	64174080	65803264
192	63926784	65558016	67222528
193	65297920	66964480	68664320
194	66691584	68393216	70129408
195	68106752	69844736	71617536
196	69544960	71319296	73129472
197	71005184	72817152	74664960
198	72488960	74338048	76224768
199	73995520	75883264	77808896
200	75525376	77452032	79417344
201	77078784	79044864	81050880
202	78656256	80662784	82708992
203	80257792	82304768	84392960
204	81883648	83971840	86102528
205	83534080	85664256	87837440
206	85209088	87382016	89598720
207	86909440	89125632	91386368
208	88634880	90895104	93200640
209	90386176	92690944	95041792
210	92163328	94512896	96909824
211	93966080	96361728	98805760
212	95795456	98237696	100728832
213	97651456	100140800	102680576
214	99534336	102071552	104659456
215	101444096	104029696	106668032
216	103381504	106016768	108704256
217	105346048	108030976	110770176
218	107339264	110074880	112865280
219	109359616	112146432	114990080
220	111409152	114248192	117144064
221	113486848	116379136	119329280
222	115593728	118539264	121544192
223	117729792	120729600	123789824
224	119895552	122950144	126066176
225	122090496	125201408	128374272
226	124315648	127482880	130714112
227	126571520	129796096	133085184
228	128857088	132140032	135489024
229	131174400	134515712	137924608
230	133522432	136923648	140392960
231	135901696	139363328	142894592
232	138312704	141835776	145429504
233	140755968	144340480	147997696
234	143230976	146878976	150600192
235	145738752	149450240	153236480
236	148279296	152055296	155907584
237	150852608	154694144	158612992
238	153459712	157367808	161353728
239	156100096	160074752	164130304
240	158774784	162817536	166941696
241	161483264	165595136	169788928
242	164226560	168408064	172673536
243	167004672	171256320	175593984
244	169817600	174140928	178551296
245	172666368	177062400	181545984
246	175549952	180019200	184578048
247	178470400	183013376	187648000
248	181427200	186045440	190756864
249	184420352	189114368	193902592
250	187449344	192220160	197088256
251	190517248	195366912	200312832
252	193620992	198549504	203576320
253	196763648	201771008	206879744
254	199944192	205032448	210224128
255	203163648	208333824	213607424
256	206420992	211673088	217032704
257	209716224	215054336	220497920
258	213053440	218474496	224004096
259	216428544	221935616	227554304
260	219843584	225437696	231144448
261	223300608	228981760	234776576
262	226795520	232566784	238452736
263	230333440	236192768	242171904
264	233911296	239862784	245933056
265	237532160	243574784	249739264
266	241192960	247329792	253589504
267	244897792	251126784	257481728
268	248643584	254968832	261422080
269	252433408	258854912	265404416
270	256265216	262784000	269433856
271	260142080	266759168	273508352
272	264060928	270777344	277629952
273	268024832	274841600	281795584
274	272033792	278952960	286010368
275	276086784	283108352	290271232
276	280184832	287309824	294580224
277	284327936	291559424	298935296
278	288518144	295855104	303339520
279	292753408	300197888	307792896
280	297034752	304588800	312294400
281	301364224	309027840	316844032
282	305740800	313513984	321445888
283	310163456	318050304	326094848
284	314634240	322635776	330797056
285	319154176	327268352	335546368
286	323723264	331954176	340350976
287	328339456	336687104	345202688
288	333004800	341471232	350107648
289	337721344	346306560	355065856
290	342484992	351193088	360075264
291	347303936	356130816	365137920
292	352167936	361121792	370253824
293	357085184	366163968	375422976
294	362053632	371257344	380645376
295	367075328	376406016	385925120
296	372146176	381605888	391256064
297	377272320	386861056	396642304
298	382449664	392169472	402087936
299	387680256	397533184	407584768
300	392962048	402952192	413138944
301	398303232	408424448	418752512
302	403693568	413954048	424419328
303	409139200	419538944	430145536
304	414642176	425179136	435929088
305	420198400	430876672	441769984
306	425811968	436631552	447670272
307	431478784	442445824	453629952
308	437204992	448313344	459649024
309	442986496	454244352	465725440
310	448825344	460228608	471865344
311	454721536	466276352	478062592
312	460675072	472381440	484321280
313	466688000	478545920	490643456
314	472760320	484771840	497025024
315	478889984	491057152	503470080
316	485079040	497405952	509976576
317	491329536	503810048	516548608
318	497639424	510279680	523184128
319	504006656	516810752	529879040
320	510439424	523405312	536641536
321	516929536	530061312	543467520
322	523483136	536780800	550359040
323	530100224	543563776	557314048
324	536774656	550412288	564338688
325	543518720	557322240	571424768
326	550322176	564301824	578580480
327	557191168	571342848	585801728
328	564121600	578449408	593092608
329	571117568	585625600	600449024
330	578183168	592863232	607870976
331	585306112	600174592	615362560
332	592498688	607551488	622927872
333	599760896	614989824	630558720
334	607084544	622505984	638263296
335	614477824	630083584	646029312
336	621940736	637734912	653877248
337	629465088	645451776	661786624
338	637063168	653238272	669773824
339	644722688	661098496	677834752
340	652460032	669028352	685961216
341	660262912	677027840	694165504
342	668135424	685101056	702439424
343	676073472	693243904	710791168
344	684089344	701460480	719216640
345	692174848	709750784	727715840
346	700329984	718114816	736288768
347	708558848	726544384	744935424
348	716857344	735059968	753664000
349	725229568	743645184	762466304
350	733675520	752300032	771346432
351	742191104	761040896	780300288
352	750788608	769847296	789331968
353	759455744	778735616	798449664
354	768196608	787701760	807636992
355	777015296	796741632	816906240
356	785907712	805859328	826257408
357	794877952	815058944	835686400
358	803921920	824332288	845197312
359	813047808	833687552	854790144
360	822247424	843116544	864460800
361	831524864	852635648	874213376
362	840880128	862228480	884051968
363	850317312	871899136	893968384
364	859832320	881659904	903970816
365	869425152	891494400	914059264
366	879099904	901410816	924229632
367	888852480	911417344	934486016
368	898691072	921501696	944820224
369	908607488	931667968	955252736
370	918605824	941924352	965763072
371	928686080	952254464	976363520
372	938852352	962682880	987045888
373	949092352	973185024	997818368
374	959430656	983777280	1008672768
375	969842688	994459648	1019633664
376	980344832	1005223936	1030660096
377	990928896	1016078336	1041793024
378	1001594880	1027014656	1053016064
379	1012350976	1038041088	1064312832
380	1023197184	1049165824	1075716096
381	1034125312	1060364288	1087209472
382	1045143552	1071661056	1098784768
383	1056243712	1083056128	1110466560
384	1067433984	1094524928	1122222080
385	1078722560	1106092032	1134092288
386	1090084864	1117749248	1146036224
387	1101553664	1129496576	1158094848
388	1113096192	1141350400	1170227200
389	1124745216	1153277952	1182474240
390	1136467968	1165303808	1194803200
391	1148297216	1177436160	1207230464
392	1160208384	1189650432	1219756032
393	1172217856	1201954816	1232379904
394	1184317440	1214373888	1245110272
395	1196515328	1226866688	1257922560
396	1208803328	1239474176	1270841344
397	1221181440	1252163584	1283858432
398	1233657856	1264959488	1296973824
399	1246240768	1277853696	1310195712
400	1258897408	1290846208	1323515904
